date,year,decision,name,mandate,occupation,commission,sector
20 April 2016,2016.0,,Joaquín Almunia,Competition,Aristide Merloni Foundation,Juncker (2014-2019),NGO / foundation
,,,Tonio Borg,Health and consumer policy,European Medicines Agency,Other/Earlier,Other
19 January 2016,2016.0,,Stefan Füle,Enlargement and European neighbourhood policy,4 NGOs and Czech Ministry of Foreign Affairs,Other/Earlier,NGO / foundation
11 November 2015,2015.0,,Joaquín Almunia,Competition,Paris School of International Affairs (PSIA) of Sciences Po (Paris),Juncker (2014-2019),Academia
14 October 2015,2015.0,,Dacian Cioloş,Agriculture and rural development,International Food Policy Research Institute,Other/Earlier,Other
,,,Tonio Borg,Health and consumer policy,1 academic activity,Other/Earlier,Other
16 September 2015,2015.0,,Baroness Catherine Ashton,High Representative for Foreign Affairs and Security Policy,"Intermediate, 1 academic activity",Other/Earlier,Other
,,,Máire Geoghegan-Quinn,Research and innovation,Trinity College,Other/Earlier,Academia
15 July 2015,2015.0,,Joaquín Almunia,Competition,"Participation in a study with the European House / Ambrosetti, Center for European Policy Studies",Juncker (2014-2019),Other
24 June 2015,2015.0,,Máire Geoghegan-Quinn,Research and innovation,Review of gender equality in Irish higher education institutions,Other/Earlier,Other
9 June 2015,2015.0,,Andris Piebalgs,Development,Research felllowship,Juncker (2014-2019),Other
,,,Dacian Cioloş,Agriculture and rural development,Participation to an event organised by the International Economic Forum,Other/Earlier,Think tank / advisory
13 May 2015,2015.0,,Viviane Reding,"Justice, fundamental rights, citizenship",Mouvement Européen,Juncker (2014-2019),Other
28 April 2015,2015.0,,Neelie Kroes,Digital agenda,Open-Data Institute,Other/Earlier,Other
15 April 2015,2015.0,,José Manuel Barroso,President,"Palais des Beaux-Arts (Brussels), 1 academic activity",Juncker (2014-2019),Other
,,,Baroness Catherine Ashton,High Representative for Foreign Affairs and Security Policy,"House of Lords, Oslo Forum, 2 academic activities",Other/Earlier,Think tank / advisory
,,,Siim Kallas,Transport,Nortal,Other/Earlier,Other
,,,Janez Potocnik,Environment,"Committee ""A vision for Europe towards sustainable and circular economy"", Critical Ecosystem Partnership Fund",Other/Earlier,Finance / corporate
,,,Karel De Gucht,Trade,CVC Capital Partners,Other/Earlier,Finance / corporate
,,,Máire Geoghegan-Quinn,Research and innovation,High level group on industrial innovation for competitiveness,Other/Earlier,Other
18 March 2015,2015.0,,Siim Kallas,Transport,1 academic activity,Other/Earlier,Other
,,,Janez Potocnik,Environment,"Rural Investment Support for Europe Foundation, Global Alliance on Health and Pollution",Other/Earlier,Finance / corporate
,,,Androulla Vassiliou,"Education, culture, multilingualism and youth","Cyprus Research and Educational Foundation, European University Institute",Other/Earlier,Academia
,,,Karel De Gucht,Trade,"Institute for European Studies of the Vrije Universiteit Brussel, Belgacom, Merit Capital NV, 1 academic activity",Other/Earlier,Academia
18 February 2015,2015.0,,Viviane Reding,"Justice, Fundamental Rights, Citizenship",Global Economic Symposium,Juncker (2014-2019),Other
