ep_id,name,country,group,section_a_items,section_c_items,section_a_count,section_c_count,pdf_path
277057,Marie-Sophie LANIG,Germany,Group of the European People's Party (Christian Democrats),Wissenschaftliche Mitarbeiterin Deutscher Bundestag (März 2023 - Mai 2023)11100 || Referentin Konrad-Adenauer-Stiftung (Juni 2023 - Dezember 2023)30777 || Referentin Konrad-Adenauer-Stiftung (Januar 2024 - Dezember 2024)60154 || Referentin Konrad-Adenauer-Stiftung (Januar 2025 - Dezember 2025)69111 || Referentin Konrad-Adenauer-Stiftung (Januar 2026 - März 2026)15405 || Mitglied im Bezirksvorstand Frauen Union Nordwürttemberg (seit April 2022) || Mitglied im Kreisvorstand CDU Main-Tauber (seit Oktober 2023) || Mitglied im Bezirksvorstand CDU Nordwürttemberg (seit April 2024) || Co-V orsitzende des Bezirkfachausschuss Europa der CDU Nordwürttemberg (seit November 2024) || Mitglied im Landesvorstand CDU Baden- Württemberg (seit Dezember 2025)XDE,Mitglied im Bezirksvorstand Frauen Union Nordwürttemberg || Mitglied im Kreisvorstand CDU Main-Tauber || Mitglied im Bezirksvorstand CDU Nordwürttemberg || Co-V orsitzende des Bezirkfachausschuss Europa CDU Nordwürttemberg || Mitglied im Landesvorstand CDU Baden- WürttembergXDE,10,5,declarations/277057_Marie-Sophie_LANIG.pdf
198373,Judita LAŠŠÁKOVÁ,Slovakia,Non-attached Members,odborna asistentka COOLnicka s. r. o. 266 || Google - Influencer/Content Creator 400,,2,0,declarations/198373_Judita_LAŠŠÁKOVÁ.pdf
256860,András LÁSZLÓ,Hungary,Patriots for Europe Group,Oszaggyules Hivatala 850000 || Budapest XI kerulet onkormanyzata 110028 || Megafon Inkubator Kozpont 1200000 || Fidesz MPSZ 1200000,,4,0,declarations/256860_András_LÁSZLÓ.pdf
256954,Afroditi LATINOPOULOU,Greece,Patriots for Europe Group,"Δικηγόρος στην Ανώνυμη Εταιρεία Συμβούλων ""Φινέας"" (από Μάιο 2024)1250 || Δικηγόρος στη ""Δυαδική Ενημέρωση"" Ε.Ε. (από Μάιο 2024)1000",,2,0,declarations/256954_Afroditi_LATINOPOULOU.pdf
256899,Murielle LAURENT,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Maire de Feyzin 1795 || COPAMO chargée de mission 1412,Conseillère municipale Feyzin,2,1,declarations/256899_Murielle_LAURENT.pdf
230085,Camilla LAURETI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Membro del Parlamento Europeo Informazioni pubblicheMensile || Collaborazione Coop Culture 5000 || Membro Assemblea soci Festival Spoleto || Advisory board Intersos || Consigliera Comunale Comune di Spoleto 604 || Giornalista Professionista || Segreteria Provinciale Partito Democratico PerugiaXIT,Segreteria Provinciale Partito Democratico PerugiaXIT,7,1,declarations/230085_Camilla_LAURETI.pdf
257262,Rada LAYKOVA,Bulgaria,Europe of Sovereign Nations Group,EU Referentin im Deutschen Bundestag (AfD-Bundestagsfraktion)6000,,1,0,declarations/257262_Rada_LAYKOVA.pdf
257261,Ilia LAZAROV,Bulgaria,Group of the European People's Party (Christian Democrats),главен секретар на СДС || Член на съвета на директорите на Companie Nationale de Zones Industrielles ЕАД (До август 2022 г)8000 || Член на съвета на директорите на ТТЗ АД 1000,главен секретар на СДС XBG,3,1,declarations/257261_Ilia_LAZAROV.pdf
257118,Luis-Vicențiu LAZARUS,Romania,Non-attached Members,"Jurnalist independent online 63645 || Presedinte -Asociatia Patria, Romania XRO","Presedinte - Asociatia Patria, Romania XRO",2,1,declarations/257118_Luis-Vicențiu_LAZARUS.pdf
256920,Isabelle LE CALLENNEC,France,Group of the European People's Party (Christian Democrats),Maire de Vitré depuis mai 2020 2351 || Présidente de Vitré communauté 3767 || Conseillère régionale de Bretagne 2877,Conseillère régionale de Bretagne,3,1,declarations/256920_Isabelle_LE_CALLENNEC.pdf
256872,Fabrice LEGGERI,France,Patriots for Europe Group,"Administrateur de l'Etat en France en disponibilité pour convenance personelle du 17 février 2024 jusqu'au 15 juillet 2024 || Administrateur de l'Etat au Ministère de l'Intérieur en France jusqu'au 16 février 2024 inclus15486 || Administrateur de l'Etat au Ministère de l'Intérieur en France en 2023118202 || Administrateur de l'Etat au Ministère de l'Intérieur en France à partir du 7 juillet 202255555 || Directeur de l'Agence Frontex, grade AD15 jusqu'au 6 juillet 202286975 || Directeur de l'Agence Frontex, grade AD15 en 2021152582",,6,0,declarations/256872_Fabrice_LEGGERI.pdf
95074,Jeroen LENAERS,Netherlands,Group of the European People's Party (Christian Democrats),Member of the European Parliament Public Information Monthly || Member of the board of the foundation 'Thuis in Limburg' || Member of the Board of the foundation 'European Charity Fund'XEN,Member of the board of the foundation 'Thuis in Limburg' || Member of the board of the foundation 'European charity fund'XEN,3,2,declarations/95074_Jeroen_LENAERS.pdf
256895,Julien LEONARDELLI,France,Patriots for Europe Group,Auto entrepreneur Julien Leonardelli || Conseiller régional Occitanie 31296 || Conseiller municipal Fronton || Assistant parlementaire d'un député à l'Assemblée Nationale1425,Conseiller régional Occitanie || Auto entrepreneur Julien Leonardelli,4,2,declarations/256895_Julien_LEONARDELLI.pdf
23781,Janusz LEWANDOWSKI,Poland,Group of the European People's Party (Christian Democrats),Poseł do Parlamentu Europejskiego informacja publicznamiesięcznie || Rada Programowa Instytutu Badań nad Gospodarką Rynkową || Rada Programowa Polska Fundacja im. Roberta SchumanaXPL,Rada Programowa Polska Fundacja im. Roberta SchumanaXPL,3,1,declarations/23781_Janusz_LEWANDOWSKI.pdf
204336,Miriam LEXMANN,Slovakia,Group of the European People's Party (Christian Democrats),Member of the European Parliament public information Monthly || Board Member - Anton Tunega Foundation || Board Member - DigiQ || Board Member - Fórum Života || Honorary Fellow - GCRF Compass Project - University of Kent || Board Member - Relief & Reconciliation International AISBL || Chairwoman - Relief & Reconciliation International ASBL || Honorary Fellow - Warwick Institute for Global Sustainable Development || Inter-Parliamentary Alliance on China (IPAC) - Co-Chair || Hong Kong Watch - Patron,Board Member - Anton Tunega Foundation || Board Member - DigiQ || Honorary Fellow - Warwick Institute for Global Sustainable Development || Inter-Parliamentary Alliance on China (IPAC) - Co-Chair || Hong Kong Watch - Patron || Chairwoman - Relief & Reconciliation International ASBLXEN,10,6,declarations/204336_Miriam_LEXMANN.pdf
1927,Peter LIESE,Germany,Group of the European People's Party (Christian Democrats),Mitglied des Europäischen Parlaments öffentliche Informationmonatlich || stellvertretender V orsitzender von Esperanza - Verein zur Förderung der Entwicklung in Mittelamerika e.V . || Zentralkomittee der deutschen Katholiken || CDU Ortsverband Meschede || Mittelstands-und Wirtschaftsunion (MIT) || Christlich-Demokratische Arbeitnehmerschaft (CDA) || KlimaUnion e.V . || St. Antonius Schützenbruderschaft 1873 e.V . Ostwig || St. Georgs-Schützenbruderschaft Meschede e.V . || Schützengemeinschaft Meschede-Nord e.V . || Malteser Hilfsdienst e.V . || Franz-Stock-Komitee für Deutschland / Deutsch-Französische Gesellschaft Arnsberg e. V . || Kolpingsfamilie Ostwig || Europa-Union Deutschland e.V . || Kuratorium Wiesenkirche Soest XDE16. Elterninitiative für Montessori– Tageseinrichtungen für Kinder Bestwig e.V . || Männergesangverein 1864 Velmede e.V . || Aktion Lebensrecht für Alle (ALfA) e.V . || TV Germania 1899 Ostwig e.V || Don Bosco Mondo e.V . || Jürgen Wahn Stiftung e.V || DAHW Deutsche Lepra- und Tuberkulosehilfe e.V . || VCD Verkehrsclub Deutschland e.V . || Freunde der Völkerbegegnung e.V . Meschede || Germanwatch e.V || Verein der Freunde und Förderer der Musikschule der Stadt Lippstadt e.V . || Ärztekammer Westfalen-Lippe,stellvertretender V orsitzender von Esperanza - Verein zur Förderung der Entwicklung in Mittelamerika e.V . || Zentralkomittee der deutschen Katholiken || CDU Ortsverband Meschede || Mittelstands-und Wirtschaftsunion (MIT) || Christlich-Demokratische Arbeitnehmerschaft (CDA) || KlimaUnion e.V . || St. Antonius Schützenbruderschaft 1873 e.V . Ostwig || St. Georgs-Schützenbruderschaft Meschede e.V . || Schützengemeinschaft Meschede-Nord e.V . || Malteser Hilfsdienst e.V . || Franz-Stock-Komitee für Deutschland / Deutsch-Französische Gesellschaft Arnsberg e. V . || Kolpingsfamilie Ostwig || Europa-Union Deutschland e.V . || Kuratorium Wiesenkirche Soest XDE15. Elterninitiative für Montessori– Tageseinrichtungen für Kinder Bestwig e.V . || Männergesangverein 1864 Velmede e.V . || Aktion Lebensrecht für Alle (ALfA) e.V . || TV Germania 1899 Ostwig e.V . || Don Bosco Mondo e.V . || Jürgen Wahn Stiftung e.V || DAHW Deutsche Lepra- und Tuberkulosehilfe e.V . || VCD Verkehrsclub Deutschland e.V . || Freunde der Völkerbegegnung e.V . Meschede || Germanwatch e.V . || Verein der Freunde und Förderer der Musikschule der Stadt Lippstadt e.V . || Ärztekammer Westfalen-Lippe,26,25,declarations/1927_Peter_LIESE.pdf
124808,Norbert LINS,Germany,Group of the European People's Party (Christian Democrats),Member of the European Parliament Public information monatlich || Stv. V orsitzender des CDU-Bezirksverbandes Württemberg-Hohenzollern || Mitglied des Landesvorstandes CDU Baden- Württemberg (seit September 2023) || Stv. V orsitzender der Paneuropa-Union Baden-WürttembergXDE,Stv. V orsitzender des CDU-Bezirksverbandes Württemberg-Hohenzollern || Mitglied des Landesvorstandes CDU Baden- Württemberg || Stv. V orsitzender der Paneuropa-Union Baden-WürttembergXDE,4,3,declarations/124808_Norbert_LINS.pdf
197494,Nathalie LOISEAU,France,Renew Europe Group,"Députée européenne information publiqueMensuelle || Autrice – ""La guerre qu'on ne voit pas venir"" - 2022 Éditions de l'Observatoire15863 || Autrice – ""Si l'Europe n'existait pas"" - 2024 Éditions de l'Observatoire7000 || European Council on Foreign Relations - Council Member || Horizons, membre du Bureau politique, en charge du pôle Europe et internationalXFR","European Council on Foreign Relations - Council Member || Horizons, membre du Bureau politique, en charge du pôle Europe et internationalXFR",5,2,declarations/197494_Nathalie_LOISEAU.pdf
96709,Morten LØKKEGAARD,Denmark,Renew Europe Group,MEP public information Monthly || Løkkegaard Kommunikation 3000 || Gentofte Kommune - byrådsmedlem 20000,,3,0,declarations/96709_Morten_LØKKEGAARD.pdf
220896,Reinhold LOPATKA,Austria,Group of the European People's Party (Christian Democrats),"Mitglied des Nationalrates der Republik Österreich10351 || Präsident der Österreichisch-Australischen Gesellschaft || Mitglied des V orstandes Special Olympics Österreich || Mitglied des Kuratoriums Sturm Graz || Vizepräsident der Parlamentarischen Versammlung des Europarates500 € Spesenersatz, bezahlt vom österreichischen Parlamentmonatlich || Präsident des Koordinationsmechanismus der UNO für Parlamentarische Versammlungen gegen Terrorismus || Vizepräsident der Parlamentarischen Versammlung der OSZE || V orsitzender (Chairman) der High-Level Advisory Group on Countering Terrorism der Interparlamentarischen Union (IPU) || V orsitzender (Chairman) des Standing Committee on Foreign Affairs der Internationalen Demokratischen Union (IDU)XDE",Präsident der Österreichisch-Australischen Gesellschaft || Mitglied des V orstandes Special Olympics Österreich || Mitglied des Kuratoriums Sturm Graz || V orsitzender (Chairman) des Standing Committee on Foreign Affairs der Internationalen Demokratischen Union (IDU)XDE,9,4,declarations/220896_Reinhold_LOPATKA.pdf
125042,Javi LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Diputado al Parlamento Europeo Información PúblicaMensual || Miembro Nato Comisión Ejecutiva Partit dels Socialistes de Catalunya (PSC) || Council Member European Council on Foreign Relations (ECFR) || Miembro Patronato Fundació Rafael Campalans || Presidency Full Member Party of European Socialists (PES) || Profesor visitante - Universidad Blanquerna Ramon Llull (entre 2017 y 2022)1000,Miembro Nato Comisión Ejecutiva Partit dels Socialistes de Catalunya (PSC) || Presidency Full Member Party of European Socialists (PES) || Council Member European Council on Foreign Relations (ECFR) || Miembro Patronato Fundació Rafael CampalansXES,6,4,declarations/125042_Javi_LÓPEZ.pdf
96812,Juan Fernando LÓPEZ AGUILAR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Diputado al Parlamento Europeo (MEP) Información PúblicaMonthly || Patronato Fundación Pedro Zerolo,Patronato Fundación Pedro Zerolo,2,1,declarations/96812_Juan_Fernando_LÓPEZ_AGUILAR.pdf
28399,Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,Group of the European People's Party (Christian Democrats),"Diputado al Parlamento Europeo Información pública Mensual || Secretario General del Partido Popular Europeo (PPE)9500 || Secretario General de la Internacional Demócrata de Centro (IDC-CDI) || Secretario Tesorero del Wilfried Martens Centre for European Studies (WMCES) || Miembro del Comité Ejecutivo Nacional del Partido Popular (PP) || Patrono de la Fundación de ayuda jurídica al discapacitado ""AEQUITAS"" || Patrono de la Fundación de Ayuda a Niños y Adolescentes en Riesgo ""ANAR"" || Vicepresidente del Foro Conservador Europeo (Conservative European Forum)XES","Secretario Ejecutivo de la Internacional Demócrata de Centro (IDC-CDI) || Secretario Tesorero del Wilfried Martens Centre for European Studies (WMCES) || Miembro del Comité Ejecutivo Nacional del Partido Popular (PP) || Patrono de la Fundación de ayuda juridica al discapacitado ""AEQUITAS"" || Patrono de la Fundación de Ayuda a Niños y Adolescentes en Riesgo ""ANAR"" || Vicepresidente del Foro Conservador Europeo (Conservative European Forum)XES",8,6,declarations/28399_Antonio_LÓPEZ-ISTÚRIZ_WHITE.pdf
