wikidata_id,name,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions,name_upper
Q85676,Markus Ferber,2024-07-16,1965-01-15,Augsburg,Technical University of Munich,engineer || politician,,Christian Social Union of Bavaria,Bavarian Order of Merit || Cross of the Order of Merit of the Federal Republic of Germany,,MARKUS FERBER
Q60552203,Markéta Gregorová,2024-07-16,1993-01-14,Most,Masaryk University,politician,,Czech Pirate Party,,member of the municipal council of Brno (from 2018-10-06),MARKÉTA GREGOROVÁ
Q48842537,Marlena Maląg,2024-07-16,1964-11-02,Ostrów Wielkopolski,Poznań University of Technology || Jan Długosz University,politician,,,,member of the Sejm || Minister of Labour and Social Policy (2019-11-15 to 2023-11-27),MARLENA MALĄG
Q57339530,Marta Temido,2024-07-16,1974-03-02,Coimbra,University of Coimbra || University of Lisbon,politician,,Socialist Party,,member of the Assembly of the Republic (from 2022-09-10) || Minister of Health (2018-10-15 to 2022-09-10),MARTA TEMIDO
Q71254826,Marta Wcisło,2024-07-16,1969-02-26,Kraśnik,Maria Curie-Skłodowska University,politician || entrepreneur,,Civic Platform,,member of the Sejm (from 2019-11-12) || council member (2010-01-01 to 2019-01-01),MARTA WCISŁO
Q135261368,Martin Günther,2025-09-16,1982-01-01,East Berlin,,politician,,,,,MARTIN GÜNTHER
Q62085985,Martin Hlaváček,2024-07-16,1980-01-14,Prague,Czech University of Life Sciences Prague,politician || economist || manager,,,,deputy minister (2012-01-01 to 2012-10-31),MARTIN HLAVÁČEK
Q64282369,Martin Hojsík,2024-07-16,1977-01-20,Bratislava,Comenius University,politician || activist,Q81307,Progressive Slovakia,,Vice President of the European Parliament (from 2023-10-18),MARTIN HOJSÍK
Q95895,Martin Häusling,2024-07-16,1961-03-26,Bad Wildungen,,politician,,Alliance '90/The Greens,,member of the Landtag of Hesse,MARTIN HÄUSLING
Q17124693,Martin Schirdewan,2024-07-16,1975-07-12,East Berlin,Freie Universität Berlin,politician || journalist,,Die Linke,,president (from 2019-07-02),MARTIN SCHIRDEWAN
Q87485,Martin Sonneborn,2024-07-16,1965-05-15,Göttingen,,writer || politician || journalist,Spiegel-Verlag,Die PARTEI,,editor-in-chief (2000-01-01 to 2005-01-01),MARTIN SONNEBORN
Q123038876,Martine Kemp,2024-12-03,1994-07-08,Luxembourg,University of Vienna || Technical University of Darmstadt || École privée Fieldgen,politician,,Christian Social People's Party,,,MARTINE KEMP
Q72697424,Mary Khan-Hohloch,2024-07-16,1994-06-25,Frankfurt,http://www.wikidata.org/.well-known/genid/503d341fa8de06353a8338e195db73e4,politician || impostor || critic,,Alternative for Germany,,,MARY KHAN-HOHLOCH
Q3774834,María Esther Herranz García,2024-07-16,1969-07-03,Logroño,University of Valencia || University of Zaragoza,politician,International University of La Rioja,People's Party,,,MARÍA ESTHER HERRANZ GARCÍA
Q3851074,Massimiliano Salini,2024-07-16,1973-03-11,Soresina,University of Milan,politician,,Forza Italia,,president of the Province of Cremona (2009-06-08 to 2014-07-21),MASSIMILIANO SALINI
Q12796084,Matej Tonin,2024-07-16,1983-07-30,Ljubljana,University of Ljubljana,politician || political scientist,,New Slovenia,,Member of the National Assembly of Slovenia (from 2022-05-13) || President of the National Assembly of Slovenia (2018-06-22 to 2018-08-23) || Minister of Defence (2020-03-13 to 2022-06-01) || Deputy Prime Minister of Slovenia (2020-03-13 to 2022-06-01) || Member of the National Assembly of Slovenia (2018-06-03 to 2020-03-19) || Member of the National Assembly of Slovenia (from 2014-08-01),MATEJ TONIN
Q63537108,Mathilde Androuët,2024-07-16,1984-07-03,Rueil-Malmaison,Sciences Po Aix-en-Provence,politician || permanent politician || cadres de la fonction publique,Terra Nova,National Rally,,member of the regional council of Île-de-France (from 2015-12-13),MATHILDE ANDROUËT
Q27929326,Matjaž Nemec,2024-07-16,1980-04-10,Šempeter pri Gorici,,politician,,Social Democrats,,Member of the National Assembly of Slovenia (from 2018-06-03) || Member of the National Assembly of Slovenia (from 2014-08-01),MATJAŽ NEMEC
