wikidata_id,name,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions,name_upper
Q5272889,Dick Erixon,2024-07-16,1962-07-16,Adolf Fredriks parish,,politician || executive producer || blogger,,Centre Party || Sweden Democrats,,editor (1995-10-01 to 1997-12-01) || treasurer (1989-11-01 to 1994-02-01) || editor-in-chief (from 2016-06-01) || editorial columnist (1999-09-01 to 2002-06-01) || chairperson (2007-01-01 to 2016-01-01) || treasurer (1985-03-01 to 1987-10-01) || political secretary (1987-10-01 to 1989-10-01),DICK ERIXON
Q126735144,Diego Solier,2024-07-16,1980-04-26,Valencia,,politician,,,,,DIEGO SOLIER
Q65274420,Dimitris Tsiodras,2024-07-16,1959-10-26,Manaris,National and Kapodistrian University of Athens || The Fletcher School of Law and Diplomacy,politician || journalist,,New Democracy,,,DIMITRIS TSIODRAS
Q27646852,Dirk Gotink,2024-07-16,1981-08-13,Haarlem,,politician,,Christian Democratic Appeal || New Social Contract,,,DIRK GOTINK
Q11917597,Dolors Montserrat i Montserrat,2024-07-16,1973-09-18,Sant Sadurní d'Anoia,University of Barcelona || ESADE || Abat Oliba CEU University,lawyer || politician,,People's Party,,"Q62391727 (2003-01-01 to 2015-01-01) || Member of the Congress of Deputies (2011-12-05 to 2016-01-13) || Minister of Health, Social Services and Equality (2016-11-04 to 2018-06-07) || Member of the Congress of Deputies (2016-07-06 to 2019-05-21) || Member of the Congress of Deputies (2008-03-27 to 2011-09-27) || Member of the Congress of Deputies (2016-01-07 to 2016-07-19)",DOLORS MONTSERRAT I MONTSERRAT
Q27063663,Domenico Lucano,2024-07-16,1958-05-31,Melito di Porto Salvo,,teacher || politician || activist,,independent politician,Dresden Prize,mayor (2004-06-12 to 2018-10-03),DOMENICO LUCANO
Q21282143,Dominik Tarczyński,2024-07-16,1979-03-27,Lublin,John Paul II Catholic University of Lublin,politician || film director,,Poland Comes First,,member of the Sejm || Representative of the Parliamentary Assembly of the Council of Europe (from 2016-01-25) || member of the Sejm,DOMINIK TARCZYŃSKI
Q28035943,Dragoș Benea,2024-07-16,1975-12-18,Bacău,Vasile Alecsandri University,politician,,Social Democratic Party,,chairperson of Bacău County Council (2008-01-01 to 2012-01-01) || chairperson of Bacău County Council (2012-01-01 to 2016-01-01) || member of the Senate of Romania (2016-12-20 to 2019-06-19) || chairperson of Bacău County Council (2004-01-01 to 2008-01-01),DRAGOȘ BENEA
Q125542328,Dóra Dávid,2024-07-16,1985-03-14,Pécs,Heidelberg University || King's College London,lawyer || politician,,Respect and Freedom Party,,,DÓRA DÁVID
Q2360756,Eero Heinäluoma,2024-07-16,1955-07-04,Kokkola,,politician,,Social Democratic Party of Finland,"Order of Friendship || Grand Cross of Honor for Services to the Republic of Austria || Commanders Grand Cross of the Order of the Polar Star || Order of the Cross of Terra Mariana, 1st Class || Commander of the Order of the White Rose of Finland || Cross of Liberty, 1st Class || Cross of Merit of the War Invalides",Minister of Finance (2005-09-23 to 2007-04-19) || municipal councillor in Finland || Deputy Prime Minister of Finland (2005-09-23 to 2007-04-19) || member of the Parliament of Finland || municipal councillor in Finland || member of the Parliament of Finland || member of the Parliament of Finland (from 2007-03-21) || Speaker of the Parliament of Finland (2011-06-23 to 2015-04-21) || member of the Parliament of Finland (2003-03-19 to 2007-03-20),EERO HEINÄLUOMA
Q460614,Eija-Riitta Korhola,2024-06-01,1959-06-15,Lahti,,politician || journalist,,National Coalition Party || Christian Democrats,,,EIJA-RIITTA KORHOLA
Q3721414,Elena Donazzan,2024-07-16,1972-06-22,Bassano del Grappa,,politician,,National Alliance || Brothers of Italy,,member of the Chamber of Deputies of the Italian Republic (2006-04-28 to 2006-04-28),ELENA DONAZZAN
Q18641022,Elena Kountoura,2024-07-16,1962-11-02,Athens,National and Kapodistrian University of Athens,politician || model || athletics competitor,,SYRIZA || New Democracy || Independent Greeks,,Representative of the Parliamentary Assembly of the Council of Europe (2014-06-23 to 2015-04-19) || Q23836187 || member of the Hellenic Parliament (from 2015-10-03),ELENA KOUNTOURA
Q5829222,Elena Nevado del Campo,2024-07-16,1967-01-26,Cáceres,University of Extremadura,lawyer || politician,,People's Party,,member of the Senate of Spain || mayor of Cáceres (2011-01-01 to 2019-06-15),ELENA NEVADO DEL CAMPO
Q126486800,Elena Sancho,2024-07-16,1989-01-26,Ribaforada,,politician,,Spanish Socialist Workers' Party,,council member,ELENA SANCHO
Q3740539,Elena Yoncheva,2024-07-16,1964-05-27,Sofia,Lomonosov Moscow State University,politician || journalist || film director || film producer || film screenwriter,,Bulgarian Socialist Party,,member of the Bulgarian National Assembly (2017-04-19 to 2019-06-21),ELENA YONCHEVA
Q12876899,Eleonora Meleti,2024-07-16,1978-09-17,Athens,National and Kapodistrian University of Athens,writer || politician || television presenter || journalist || radio producer,Alpha TV || Mega Channel || ANT1 || Star Channel || Alter Channel,New Democracy,,,ELEONORA MELETI
Q15048,Elio Di Rupo,2024-07-16,1951-07-18,Morlanwelz,University of Mons || University of Mons-Hainaut,politician || chemist,,Socialist Party,Minister of State || Knight of the Order of Leopold || Knight Grand Cross of the Order of Leopold II,Minister-President of Wallonia (1999-07-15 to 2000-04-04) || member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || Prime Minister of Belgium (2011-12-06 to 2014-10-11) || member of the Chamber of Representatives of Belgium || Senator of Belgium (1991-11-24 to 1995-05-21) || Minister of Mobility (1994-01-23 to 1995-06-23) || Minister-President of Wallonia (2019-09-13 to 2024-07-14) || Mayor of Mons (2000-10-08 to 2018-12-03) || Minister-President of Wallonia (2005-10-06 to 2007-07-20),ELIO DI RUPO
Q47005555,Elisabeth Dieringer-Granza,2024-07-16,1974-05-12,Villach,University of Graz,teacher || politician,,Austrian Freedom Party,,member of the Landtag of Carinthia || member of state parliament (from 2018-04-12),ELISABETH DIERINGER-GRANZA
Q975178,Elisabeth Grossmann,2024-07-16,1968-11-25,Graz,University of Graz,politician,,Social Democratic Party of Austria,,member of the National Council of Austria || member of the National Council of Austria || member of the Austrian federal council (2017-11-14 to 2024-07-08),ELISABETH GROSSMANN
Q16268441,Elisabetta Gualmini,2024-07-16,1968-05-17,Modena,University of Bologna || University of Florence,politician || political scientist,University of Bologna,Democratic Party,,vice president (2014-12-22 to 2019-06-29),ELISABETTA GUALMINI
Q16061914,Eliza Vozemberg,2024-07-16,1956-09-14,Athens,National and Kapodistrian University of Athens,lawyer || politician,,New Democracy,,member of the Hellenic Parliament (2009-01-01 to 2012-01-01),ELIZA VOZEMBERG
Q11857612,Elsi Katainen,2024-07-16,1966-12-17,Haapajärvi,University of Jyväskylä,politician,,Centre Party,Knight First Class of the Order of the Lion of Finland || Knight of the Order of the Lion of Finland,member of the Parliament of Finland (2007-03-21 to 2011-04-19) || municipal councillor in Finland || municipal councillor in Finland || member of the Parliament of Finland (2015-04-22 to 2018-03-01) || member of the Parliament of Finland (2011-04-20 to 2015-04-21),ELSI KATAINEN
Q432566,Elżbieta Łukacijewska,2024-07-16,1966-11-25,Jasło,Rzeszów University of Technology,politician,,Civic Platform,,member of the Sejm,ELŻBIETA ŁUKACIJEWSKA
Q17143079,Emil Radev,2024-07-16,1971-05-26,Varna,Varna Free University || University of Economics - Varna,lawyer || politician,,Citizens for European Development of Bulgaria,,member of the Bulgarian National Assembly (2013-05-21 to 2014-06-19) || member of the Bulgarian National Assembly (2009-07-14 to 2013-03-14),EMIL RADEV
Q126372922,Emma Fourreau,2024-07-16,1999-10-01,Pontault-Combault,,politician || cadres de la fonction publique || student,,La France insoumise,,,EMMA FOURREAU
Q108308348,Emma Rafowicz,2024-07-16,1995-06-24,Paris,Paris-Sorbonne University - Paris IV || CELSA Paris || lycée Galilée,politician || communications manager || activist,,Socialist Party,,municipal arrondissement councillor (from 2020-01-01) || mayor's adjunct (from 2020-01-01),EMMA RAFOWICZ
Q104126196,Emma Wiesner,2024-07-16,1992-11-11,Q10705183,Uppsala University,politician,,Centre Party,,,EMMA WIESNER
Q65589121,Emmanouíl Fragkos,2024-07-16,1993-06-27,Chios,,politician,,Greek Solution,,,EMMANOUÍL FRAGKOS
Q64142542,Engin Eroğlu,2024-07-16,1982-02-12,Schwalmstadt,,politician,,Free Voters,,,ENGIN EROĞLU
Q250611,Enikő Győri,2024-07-16,1968-07-17,Budapest,Corvinus University of Budapest,politician,,Fidesz,Officer of the Legion of Honour || Knight Grand Cross of the Order of Merit of the Italian Republic || Q16521446 || Commander of the Order of the Crown || Grand Cross of the Order of Civil Merit,ambassador of Hungary to Italy (1999-01-01 to 2003-01-01) || ambassador of Hungary to Spain (2014-01-01 to 2019-06-30) || secretary of state (2010-09-01 to 2014-06-05),ENIKŐ GYŐRI
Q124661466,Erik Kaliňák,2024-07-16,1991-09-09,Bratislava,Faculty of Arts of the Comenius University in Bratislava,politician,,Direction – Social Democracy,,Member of the National Council of the Slovak Republic,ERIK KALIŇÁK
Q18222891,Erik Marquardt,2024-07-16,1987-10-20,Neubrandenburg,,photographer || politician,,Alliance '90/The Greens,,,ERIK MARQUARDT
Q63224243,Ernő Schaller-Baross,2024-07-16,1987-01-30,Budapest,Károli Gáspár University of the Reformed Church in Hungary,politician,,Fidesz,,,ERNŐ SCHALLER-BAROSS
Q2794709,Esteban González Pons,2024-07-16,1964-08-21,Valencia,University of Valencia,writer || lawyer || politician,,People's Party,,Q57783780 (2006-05-30 to 2007-06-29) || member of the Senate of Spain (1996-03-03 to 2000-04-04) || Q105284044 (2007-06-14 to 2008-03-14) || Member of the Congress of Deputies (2011-12-13 to 2014-07-01) || Member of the Congress of Deputies (2008-04-01 to 2011-12-13) || member of the Corts Valencianes (2007-06-14 to 2008-03-14) || Member of the Congress of Deputies (2023-08-17 to 2024-07-01) || Q57783898 (2004-08-27 to 2006-05-30) || member of the Senate of Spain (2000-03-12 to 2003-06-20) || member of the Senate of Spain (1993-06-06 to 1996-01-09) || Q57783925 (2003-06-21 to 2004-08-27),ESTEBAN GONZÁLEZ PONS
Q126490469,Estelle Ceulemans,2024-07-16,1970-02-12,Rocourt,,politician || trade unionist,,,,,ESTELLE CEULEMANS
Q126339534,Estrella Galán,2024-07-16,1971-04-24,Madrid,social anthropology || Complutense University of Madrid || Autonomous University of Madrid,politician || human rights defender,,Sumar,,,ESTRELLA GALÁN
Q125704358,Eszter Lakos,2024-07-16,1981-03-08,Győr,,lawyer || politician || economist || political activist,,Respect and Freedom Party,,,ESZTER LAKOS
Q15967888,Eugen Tomac,2024-07-16,1981-06-27,Ozerne,University of Bucharest,politician || historian || journalist,,European People's Party || Democratic Liberal Party || People's Movement Party,,chairperson (from 2022-02-19) || member of the Chamber of Deputies of Romania (2016-12-20 to 2019-06-20) || chairperson (2015-01-01 to 2020-12-09) || member of the Chamber of Deputies of Romania (2012-12-19 to 2016-12-19),EUGEN TOMAC
Q17266811,Eva Maydell,2024-07-16,1986-01-26,Sofia,John Cabot University,politician,,Citizens for European Development of Bulgaria,,president (2017-01-01 to 2023-01-01),EVA MAYDELL
Q87549,Evelyn Regner,2024-07-16,1966-01-24,Vienna,University of Salzburg,politician,,Social Democratic Party of Austria,,,EVELYN REGNER
Q63975157,Evin Incir,2024-07-16,1984-06-15,Diyarbakır,,politician,,Swedish Social Democratic Party,,,EVIN INCIR
Q246216,Ewa Kopacz,2024-07-16,1956-12-03,Skaryszew,Medical University of Lublin || II Liceum Ogólnokształcące im. Marii Konopnickiej w Radomiu,physician || politician || pediatrician,,Civic Platform || Freedom Union || United People's Party,"Commander of the Order of Saint-Charles || Grand Cross of Royal Norwegian Order of Merit || Order of the Cross of Terra Mariana, 1st Class || ""Pro Masovia"" Commemorative Medal",Marshal of the Sejm (2011-11-08 to 2014-09-22) || Minister of Justice (2015-04-30 to 2015-05-04) || member of the Sejm (2001-01-01 to 2019-01-01) || Prime Minister of Poland (2014-09-22 to 2015-11-16) || Minister of Health (2007-11-16 to 2011-11-08),EWA KOPACZ
Q122852043,Ewa Zajączkowska-Hernik,2024-07-16,1990-01-20,Radom,Maria Curie-Skłodowska University,politician || journalist || history teacher,,New Hope || Confederation,,,EWA ZAJĄCZKOWSKA-HERNIK
Q440151,Fabienne Keller,2024-07-16,1959-10-20,Sélestat,"University of California, Berkeley || École polytechnique || Lycée Kléber || French National School of Forestry",politician || banker,,Union for a Popular Movement || Union for French Democracy,,conseiller général du Bas-Rhin (1992-01-01 to 2001-01-01) || community councillor of Eurométropole de Strasbourg (from 2014-03-30) || municipal councillor of Strasbourg || Mayor of Strasbourg (2001-03-19 to 2008-03-16) || Senator of the French Fifth Republic (2005-01-01 to 2019-01-01),FABIENNE KELLER
Q16999689,Fabio De Masi,2024-07-16,1980-03-07,Groß-Gerau,University of Hamburg,politician || economist,,Die Linke || Sahra Wagenknecht Alliance,,member of the German Bundestag (2017-10-24 to 2021-10-26),FABIO DE MASI
Q23060444,Fabrice Leggeri,2024-07-16,1968-03-28,Mulhouse,École Normale Supérieure || École nationale d'administration,politician || diplomat,European Commission || Ministry of the Armed Forces || Ministry of the Interior || European Border and Coast Guard Agency,National Rally,Knight of the National Order of Merit,deputy head (1996-01-01 to 1999-01-01) || director (2007-01-01 to 2011-01-01) || private secretary (2003-01-01 to 2005-01-01) || chief officer (2015-01-16 to 2022-04-28) || Sub-prefect of Châteaulin (2005-01-01 to 2007-01-01) || director (2013-08-01 to 2014-01-01) || deputy head (2011-01-01 to 2013-01-01),FABRICE LEGGERI
Q639734,Fernand Kartheiser,2024-07-16,1959-09-30,Luxembourg,,politician || military officer || author || double agent,,Alternative Democratic Reform Party,,Deputy of the Chamber of Deputies of Luxembourg (from 2018-10-30) || Deputy of the Chamber of Deputies of Luxembourg (2013-11-13 to 2018-10-30) || Deputy of the Chamber of Deputies of Luxembourg (2009-07-08 to 2013-11-12),FERNAND KARTHEISER
Q127414361,Fernando Navarrete Rojas,2024-07-16,1976-01-24,Madrid,,politician,,,,,FERNANDO NAVARRETE ROJAS
Q123220692,Fidias Panayiotou,2024-07-16,2000-04-10,Nicosia,,politician || YouTuber,,Direct Democracy Cyprus,Gold Play Button,president (from 2026-03-22),FIDIAS PANAYIOTOU
Q94497750,Filip Turek,2024-07-16,1985-10-15,Prague,University of Applied Law || University College Prague,politician,,,,chairperson (from 2006-01-01) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (from 2025-10-04),FILIP TUREK
Q976712,Flavio Tosi,2024-07-16,1969-06-18,Verona,,politician,,Liga Veneta || Act!,,member of the Chamber of Deputies of the Italian Republic (from 2022-08-10) || mayor of Verona (2007-05-29 to 2017-06-27),FLAVIO TOSI
Q5478286,France Jamet,2024-07-16,1961-02-05,Paris,,politician || permanent politician || Q97768463,,National Rally || Front national,,legislative assistant (2014-01-01 to 2017-01-01) || Regional councillor of Occitanie (from 2016-01-01),FRANCE JAMET
Q125573231,Francesco Torselli,2024-07-16,1976-03-09,Florence,,politician,,Brothers of Italy,,member of the Regional Council of Tuscany (2020-10-08 to 2024-07-09),FRANCESCO TORSELLI
Q3750778,Francesco Ventola,2024-07-16,1971-05-12,Canosa di Puglia,,politician,,The People of Freedom,,president of the Province of Barletta-Andria-Trani (2009-06-08 to 2014-10-14) || mayor of a place in Italy,FRANCESCO VENTOLA
Q656518,Francisco Assis,2024-07-16,1965-01-08,Amarante,University of Porto,politician,,Socialist Party,,Representative of the Parliamentary Assembly of the Council of Europe (1996-01-22 to 2000-01-24) || member of the Assembly of the Republic || Representative of the Parliamentary Assembly of the Council of Europe (2002-06-24 to 2005-01-24) || Mayor of Amarante (1989-12-17 to 1995-09-01) || Representative of the Parliamentary Assembly of the Council of Europe (2010-01-25 to 2014-06-22),FRANCISCO ASSIS
Q3775015,Francisco José Millán Mon,2024-07-16,1955-03-08,Pontevedra,,politician || diplomat,,People's Party,,,FRANCISCO JOSÉ MILLÁN MON
Q16637124,François Kalfon,2024-07-16,1968-06-11,Sarcelles,,politician || top official,,Socialist Party,,Q66501392 (from 2014-03-30) || Q65498850 || member of the regional council of Île-de-France (from 2015-12-13),FRANÇOIS KALFON
Q15724624,François-Xavier Bellamy,2024-07-16,1985-10-11,Paris,École Normale Supérieure || Paris-Sorbonne University - Paris IV || Lycée Henri-IV,politician || essayist,Lycée privé Notre-Dame-du-Grandchamp || Lycée privé Sainte-Geneviève || lycée Auguste-Renoir || Lycée Blomet,The Republicans,Henry Malherbe Prize,mayor's adjunct (from 2008-01-01) || Q66499704 (from 2016-01-01) || municipal councillor of Versailles,FRANÇOIS-XAVIER BELLAMY
Q118669796,Fredis Beleris,2024-07-16,1972-08-09,Himarë,Panteion University,politician,,New Democracy || Together We Win,,,FREDIS BELERIS
Q105080282,Friedrich Pürner,2024-07-16,1967-01-01,Aichach,Ludwig-Maximilians-Universität München,politician || Amtsarzt || author,,Sahra Wagenknecht Alliance,,,FRIEDRICH PÜRNER
Q17266672,Fulvio Martusciello,2024-07-16,1968-05-25,Naples,University of Naples Federico II,politician,,Forza Italia,,,FULVIO MARTUSCIELLO
Q548970,Gabriel Mato Adrover,2024-07-16,1961-04-29,Madrid,Autonomous University of Madrid,politician,,People's Party,Grand Cross of the Order of Civil Merit,Member of the Congress of Deputies (2008-03-24 to 2009-07-13) || Member of the Congress of Deputies (2000-03-28 to 2003-06-17) || Member of the Parliament of the Canary Islands (1999-07-07 to 2000-03-24) || Q47388055 (2003-06-18 to 2007-06-25),GABRIEL MATO ADROVER
Q16593781,Gabriela Firea,2024-07-16,1972-07-13,Bacău,Faculty of Letters (Bucharest University),politician || news presenter || journalist,,Social Democratic Party,Order of the Star of Romania,"Minister of Family, Youth and Equal Opportunities (2021-11-25 to 2023-07-14) || member of the Senate of Romania (from 2020-12-21) || Mayor of Bucharest (2016-06-23 to 2020-10-29) || member of the Senate of Romania (2012-12-19 to 2016-06-22)",GABRIELA FIREA
Q54934102,Gabriele Bischoff,2024-07-16,1961-01-04,Bad Wildungen,,politician || trade unionist,,Social Democratic Party of Germany,,,GABRIELE BISCHOFF
Q125704422,Gabriella Gerzsenyi,2024-07-16,1977-10-30,Berehove,Eötvös Loránd University || Katholieke Universiteit Leuven || Zrínyi Ilona Grammar School,writer || politician || jurist || political activist,,Respect and Freedom Party,,member of General Assembly of Budapest (from 2025-07-15),GABRIELLA GERZSENYI
Q66736189,Gaetano Pedullà,2024-07-16,1967-01-05,Catania,,politician || journalist,,,,,GAETANO PEDULLÀ
Q126486927,Galato Alexandraki,2024-07-16,1948-12-11,Koufovouno,,politician || pensioner,,Greek Solution,,,GALATO ALEXANDRAKI
Q30729075,Gaëtan Dussausaye,2024-07-16,1994-04-05,Brétigny-sur-Orge,University of Paris 1 Pantheon-Sorbonne,politician || commerçants et assimilés || employé de commerce,,National Rally,,director (2014-10-08 to 2018-03-12) || member of the French National Assembly (from 2024-07-08),GAËTAN DUSSAUSAYE
Q126600111,Geadis Geadi,2024-07-16,1984-09-01,Nicosia,,politician,,,,,GEADIS GEADI
Q16064658,Georg Mayer,2024-07-16,1973-10-12,Feldbach,University of Graz,politician,,Austrian Freedom Party,,member of the Styrian state parliament,GEORG MAYER
Q138079026,Georgia Tramacere,2026-02-11,1987-01-17,Galatina,,politician,,,,,GEORGIA TRAMACERE
Q127510648,Georgiana Teodorescu,2024-07-16,1985-08-19,Iași,,politician || jurist,,,,,GEORGIANA TEODORESCU
Q1509909,Gerald Hauser,2024-07-16,1961-09-30,Sankt Jakob in Defereggen,,mayor || politician,,Austrian Freedom Party,,member of the National Council of Austria (2017-11-09 to 2019-10-23) || member of the National Council of Austria (from 2019-10-23) || member of the National Council of Austria (2013-10-29 to 2017-11-08) || member of the Landtag of Tyrol,GERALD HAUSER
Q455179,Gerben-Jan Gerbrandy,2024-07-16,1967-06-28,The Hague,Leiden University,politician,,Democrats 66,Knight of the Order of Orange-Nassau,,GERBEN-JAN GERBRANDY
Q2294644,Gerolf Annemans,2024-07-16,1958-11-08,Antwerp,University of Antwerp,lawyer || politician,,Flemish Interest,,substitute member of the Parliamentary Assembly of the Council of Europe (1999-11-04 to 2010-11-12) || member of the Flemish Parliament || member of the Chamber of Representatives of Belgium,GEROLF ANNEMANS
Q127271497,Gheorghe Cârciu,2024-07-16,1973-04-14,Bixad,,politician,,Social Democratic Party,,,GHEORGHE CÂRCIU
Q5556322,Gheorghe Falcă,2024-07-16,1967-01-22,Brad,Politehnica University of Timișoara,engineer || politician,,National Liberal Party,,mayor of Arad (2004-06-06 to 2019-07-02),GHEORGHE FALCĂ
Q12729203,Gheorghe Piperea,2024-07-16,1970-03-01,Singureni,,lawyer || politician,,Alliance for the Union of Romanians,,,GHEORGHE PIPEREA
Q21634444,Gilles Boyer,2024-07-16,1971-07-04,Paris,Paris Nanterre University,writer || politician,,The Republicans,,,GILLES BOYER
Q46489779,Gilles Pennelle,2024-07-16,1962-07-20,Dieppe,University of Rouen-Normandy,politician || permanent politician || cadres de la fonction publique,Gilles Lebreton,National Rally || National Republican Movement || Party of New Forces || Land and People || Front national,,director general (2023-01-01 to 2024-01-01) || Regional council member of Brittany (from 2015-12-13) || Q66501334 (2017-01-01 to 2020-01-01) || Q65485164 (2014-01-01 to 2020-01-01),GILLES PENNELLE
Q3765505,Giorgio Gori,2024-07-16,1960-03-24,Bergamo,Polytechnic University of Milan || Paolo Sarpi,politician || entrepreneur || journalist,,Democratic Party,,member of the Regional Council of Lombardy || mayor of Bergamo (2014-06-10 to 2024-06-11),GIORGIO GORI
Q4054307,Giorgos Aftias,2024-07-16,1956-07-25,Samos,National and Kapodistrian University of Athens,politician || journalist,Alpha TV || Skai TV || ANT1 || Alter Channel,New Democracy,,,GIORGOS AFTIAS
Q16329183,Giorgos Georgiou,2024-07-16,1963-04-09,Afanteia-Ornithi,National and Kapodistrian University of Athens,politician || secondary school teacher || philologist,,Progressive Party of Working People,,member of the House of Representatives of Cyprus (2011-06-02 to 2016-06-01) || member of the House of Representatives of Cyprus (2016-06-02 to 2019-06-27),GIORGOS GEORGIOU
Q126524706,Giovanni Crosetto,2024-07-16,1990-08-12,Savigliano,,politician,,,,,GIOVANNI CROSETTO
Q24153249,Giuseppe Antoci,2024-07-16,1968-01-10,Santo Stefano di Camastra,,politician,,,Officer of the Order of Merit of the Italian Republic,,GIUSEPPE ANTOCI
Q127417743,Giuseppe Lupo,2024-07-16,1966-03-18,Palermo,,politician,,,,,GIUSEPPE LUPO
Q64692014,Giuseppe Milazzo,2024-07-16,1977-08-21,Palermo,Libera Università Maria SS. Assunta,politician,,The People of Freedom,,,GIUSEPPE MILAZZO
Q3905080,Giuseppina Picierno,2024-07-16,1981-05-10,Santa Maria Capua Vetere,University of Salerno,politician,,Democratic Party || Democracy Is Freedom – The Daisy || Italian People's Party,,member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2014-06-25) || member of the Chamber of Deputies of the Italian Republic (2008-04-22 to 2013-03-14) || Vice President of the European Parliament (from 2022-01-18),GIUSEPPINA PICIERNO
Q126489294,Giuseppina Princi,2024-07-16,1972-09-27,Reggio Calabria,,politician,,,,,GIUSEPPINA PRINCI
Q126487364,Gordan Bosanac,2024-07-16,1973-08-18,Zagreb,,politician,,,,,GORDAN BOSANAC
Q168205,Grzegorz Braun,2024-07-16,1967-03-11,Toruń,University of Wrocław || University of Silesia in Katowice,screenwriter || politician || journalist || film director || director || opinion journalist,University of Wrocław,Confederation of the Polish Crown,For Peace and Human Rights Award 2025,member of the Sejm,GRZEGORZ BRAUN
Q125789969,Grégory Allione,2024-07-16,1971-07-25,Toulon,,politician || firefighter,,,,president || president,GRÉGORY ALLIONE
Q3120121,Guillaume Peltier,2024-07-16,1976-08-27,Paris,Paris-Sorbonne University - Paris IV || University of Paris 1 Pantheon-Sorbonne || Lycée Lakanal,politician || cadre || miscellaneous persons without work under 60 excluding retirees,,Rassemblement national de la jeunesse || Union for a Popular Movement || Movement for France || National Republican Movement || The Strong Right || The Republicans || Reconquête || Identity–Freedoms,,general secretary (2003-01-01 to 2008-01-01) || Mayor of Neung-sur-Beuvron (2014-03-30 to 2017-07-01) || Q62537707 (2015-12-13 to 2021-07-02) || member of the French National Assembly (2017-06-21 to 2022-06-21),GUILLAUME PELTIER
Q65588098,Guy Lavocat,2024-01-12,1963-02-14,Pondicherry,,politician || consultant,,,,Renaissance (from 2016-01-01),GUY LAVOCAT
Q17297615,György Hölvényi,2024-07-16,1962-06-13,Budapest,Eötvös Loránd University,politician,,Christian Democratic People's Party,,secretary of state (2012-07-09 to 2014-06-05),GYÖRGY HÖLVÉNYI
Q14541202,Günther Sidl,2024-07-16,1975-03-19,St. Pölten,University of Vienna,politician,,Social Democratic Party of Austria,,Member of the Landtag of Lower Austria,GÜNTHER SIDL
Q63980402,Hana Jalloul Muro,2024-07-16,1978-04-08,Zaragoza,Complutense University of Madrid,politician || political scientist || university teacher,Universidad Carlos III de Madrid,Spanish Socialist Workers' Party,,member of the Assembly of Madrid (from 2021-06-08) || member of the Assembly of Madrid (2019-06-11 to 2020-01-28),HANA JALLOUL MURO
Q81087863,Hanna Gedin,2024-07-16,1978-03-11,Lyngby parish,Lund University,politician,,Left Party,,party secretary (2017-08-01 to 2022-12-01),HANNA GEDIN
Q271902,Hanna Gronkiewicz-Waltz,2024-10-10,1952-11-04,Warsaw,University of Warsaw || XLIV Liceum Ogólnokształcące im. Stefana Banacha w Warszawie,politician || jurist || economist || banker || university teacher,University of Warsaw || Narodowy Bank Polski || European Bank for Reconstruction and Development || Cardinal Stefan Wyszyński University in Warsaw,Civic Platform,Kisiel Prize || Officer of the Legion of Honour || Commander of the Order of Polonia Restituta || Commander with Star of the Order of Polonia Restituta || Commander of the Order of the Crown || Knight of the Order of the Polar Star || Silver Cross of Merit || honorary citizen of Warsaw || Fellow of the Collegium Invisibile || honorary doctor of the Maria Curie-Skłodowska University,Governor of the National Bank of Poland (1992-03-05 to 2000-12-31) || Mayor of Warsaw (2006-12-02 to 2018-11-22) || member of the Sejm (2005-10-19 to 2006-11-26),HANNA GRONKIEWICZ-WALTZ
Q52618103,Hannah Neumann,2024-07-16,1984-04-03,Speyer,Freie Universität Berlin,politician,,Alliance '90/The Greens,,,HANNAH NEUMANN
Q64084178,Hannes Heide,2024-07-16,1966-10-17,Q250984,,politician,,Social Democratic Party of Austria,,mayor (from 2007-01-01),HANNES HEIDE
Q60583106,Hans Neuhoff,2024-07-16,1959-01-10,Bonn,Technische Universität Berlin || Freie Universität Berlin,politician || university teacher || musicologist || cultural sociologist,Hochschule für Musik und Tanz Köln,Alternative for Germany,,,HANS NEUHOFF
Q90244,Harald Vilimsky,2024-07-16,1966-07-22,Vienna,University of Vienna,politician || press secretary,Austrian Road Safety Board,Austrian Freedom Party,,member of the Austrian federal council (2005-11-18 to 2006-10-29) || member of the National Council of Austria (2006-10-30 to 2008-10-27) || member of the National Council of Austria (2008-10-28 to 2013-10-28) || member of the National Council of Austria (2013-10-29 to 2014-06-30),HARALD VILIMSKY
Q1603428,Helmut Brandstätter,2024-07-16,1955-04-24,Vienna,University of Vienna,writer || politician || editor-in-chief || television presenter || journalist || television journalist,,NEOS – The New Austria,,member of the National Council of Austria (2019-10-23 to 2024-01-01),HELMUT BRANDSTÄTTER
Q4949040,Heléne Fritzon,2024-07-16,1960-09-29,Kristianstads parish,,politician || minister,,Swedish Social Democratic Party,,"Minister for Migration (2017-07-27 to 2019-01-21) || chairman of the municipal board in Kristianstad Municipality, Sweden (2003-01-01 to 2006-01-01) || chairman of the municipal board in Kristianstad Municipality, Sweden (2016-11-01 to 2017-11-01) || chairman of the municipal board in Kristianstad Municipality, Sweden (2014-11-01 to 2015-11-01)",HELÉNE FRITZON
