Person,Category,Institution,Field of Study,Degree,Source Type,Source Name,Evidence Quote
Dimitris Avramopoulos,commissioner,ULB Brussels,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He then undertook postgraduate studies receiving a Master's degree in European Studies at the Institute of European Affairs, Université libre de Bruxelles."
Dubravka Šuica,commissioner,Zagreb Faculty Of Humanities And Social Sciences,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She graduated from the Zagreb Faculty of Humanities and Social Sciences in 1981, majoring in English and literature and German language."
Edith Cresson,commissioner,Haut Enseignement Commercial Pour Les Jeunes Filles,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Haut Enseignement Commercial pour les jeunes filles
Ekaterina Zaharieva,commissioner,University Of Plovdiv,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She became fluent in German at her local college, then attended the University of Plovdiv where she graduated in law."
Elisa Ferreira,commissioner,University Of Porto,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: University of Porto
Elisa Ferreira,commissioner,University Of Reading,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: University of Reading
Elzbieta Bienkowska,commissioner,Jagiellonian University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Bieńkowska graduated from Jagiellonian University with a Master's degree in Oriental Philology in 1989.
Elzbieta Bienkowska,commissioner,Polish National School Of Public Administration,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She has also received a post-graduate Diploma from the Polish National School of Public Administration and afterwards a postgraduate studies MBA from SGH Warsaw School of Economics.
Elzbieta Bienkowska,commissioner,Sgh Warsaw School Of Economics,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She has also received a post-graduate Diploma from the Polish National School of Public Administration and afterwards a postgraduate studies MBA from SGH Warsaw School of Economics.
Elzbieta Bienkowska,commissioner,Sgh Warsaw School Of Economics,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She has also received a post-graduate Diploma from the Polish National School of Public Administration and afterwards a postgraduate studies MBA from SGH Warsaw School of Economics.
Emma Bonino,commissioner,Bocconi,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She graduated in modern languages and literature from Bocconi University in Milan in 1972.
Emma Bonino,commissioner,Bocconi,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She graduated from Bocconi University in literature with a master thesis on Malcolm X's autobiography.
Erkki Liikanen,commissioner,University Of Helsinki,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Erkki Antero Liikanen obtained a bachelor’s degree in Political Science (Economics) from the University of Helsinki in 1975.
Federica Mogherini,commissioner,College of Europe,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2020, she was appointed rector of the College of Europe, a post-graduate university for European studies in Bruges (Belgium), Natolin (Poland), and Tirana (Albania)."
Federica Mogherini,commissioner,Sapienza University Of Rome,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Mogherini attended the Sapienza University of Rome where she studied political science graduating with a specialization in political philosophy with a final dissertation on Islam and politics, which she wrote while she was on the Erasmus programme at Sciences Po Aix in Aix-en-Provence, France."
Federica Mogherini,commissioner,Sciences Po,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Mogherini attended the Sapienza University of Rome where she studied political science graduating with a specialization in political philosophy with a final dissertation on Islam and politics, which s"
Federica Mogherini,commissioner,Sciences Po,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Mogherini attended the Sapienza University of Rome where she studied political science graduating with a specialization in political philosophy with a final dissertation on Islam and politics, which she wrote while she was on the Erasmus programme at Sciences Po Aix in Aix-en-Provence, France."
Franco Frattini,commissioner,Sapienza University Of Rome,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Sapienza University of Rome
Frans Timmermans,commissioner,Bernardinuscollege,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"From 1975 until 1980, he attended the athenaeum Bernardinuscollege in Heerlen, where he settled."
Frans Timmermans,commissioner,Nancy University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"During his studies, in 1984, he also attended Nancy University in Nancy, France, where he pursued European law, history and French literature, earning both a Master of Laws in European Law and an additional MA degree in 1985."
Frans Timmermans,commissioner,Radboud University Nijmegen,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1980, Timmermans enrolled at Radboud University Nijmegen, where he studied French language and literature and graduated with a Master of Arts degree in 1985."
Frans Timmermans,commissioner,Saint George'S English School,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Timmermans attended elementary school in Sint-Stevens-Woluwe, Belgium, before attending, from 1972 to 1975, the private Saint George's English School in Rome."
Franz Fischler,commissioner,University Of Natural Resources And Applied Life Sciences Vienna,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Absam, Tyrol Fischler studied agriculture at the University of Natural Resources and Applied Life Sciences Vienna, and finished as Dr rer.nat.oec. in 1978."
Frits Bolkestein,commissioner,British Royal Navy,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Louis enrolled in the British Royal Navy at the age of fourteen.
Glenn Micallef,commissioner,Royal University Of Malta,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Micallef graduated from the University of Malta with a bachelor's degree in commerce and economics and a Masters degree in European law.
Günter Verheugen,commissioner,University of Bonn,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After his retirement, he is now honorary Professor at the European University Viadrina in Frankfurt (Oder)."
Günter Verheugen,commissioner,University of Bonn,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Verheugen studied history, sociology and political science at the University of Cologne and at the University of Bonn."
Günter Verheugen,commissioner,University of Cologne,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After his retirement, he is now honorary Professor at the European University Viadrina in Frankfurt (Oder)."
Günter Verheugen,commissioner,University of Cologne,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Verheugen studied history, sociology and political science at the University of Cologne and at the University of Bonn."
Günther Oettinger,commissioner,Gymnasium Korntal-Münchingen,Law,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He grew up in Ditzingen, and attended school at Gymnasium Korntal-Münchingen."
Günther Oettinger,commissioner,University of Tübingen,Law,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He studied law and Economics at the University of Tübingen.
Günther Oettinger,commissioner,University of Tübingen,Law,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He studied law and Economics at the University of Tübingen.
Hadja Lahbib,commissioner,Free University Of Brussels,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Lahbib graduated in journalism from the Free University of Brussels
Hans van den Broek,commissioner,Lyceum Voor Het Gooi,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Van den Broek went to the Roman Catholic secondary school Lyceum voor het Gooi in Hilversum.
Hans van den Broek,commissioner,Utrecht University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied Dutch law at Utrecht University, where he received his master's degree (Master of Law) in 1965."
Helena Dalli,commissioner,Royal University Of Malta,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: University of Malta
Henna Virkkunen,commissioner,University Of Jyväskylä,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She studied at the University of Jyväskylä, earning a Master of Philosophy degree in 1999, specialising in journalism and communication, and later a Licentiate in Philosophy majoring in communication in 2007."
Iliana Ivanova,commissioner,Economic University In Varna,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),In 1998 she graduated with a bachelor's degree in International Economic Relations from the Economic University in Varna.
Iliana Ivanova,commissioner,Romain Rolland,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Ivanova graduated from foreign language high school Romain Rolland in her hometown where she studied French and English.
Iliana Ivanova,commissioner,"Thunderbird School Of Global Management, Arizona",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2004 Ivanova defended her master's thesis in International Finance at the Thunderbird School of Global Management, Arizona."
Jacques Barrot,commissioner,Sciences Po,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Sciences Po
Jacques Santer,commissioner,Sciences Po,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Santer graduated in 1959 from Sciences Po, before receiving his doctorate in law from the University of Strasbourg in 1961."
Jacques Santer,commissioner,University Of Strasbourg,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Santer graduated in 1959 from Sciences Po, before receiving his doctorate in law from the University of Strasbourg in 1961."
Janez Lenarčič,commissioner,University Of Ljubljana,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Lenarčič holds a degree in international law from the University of Ljubljana, 1992."
Janusz Wojciechowski,commissioner,University Of Łódź,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: University of Łódź
Jean-Claude Juncker,commissioner,Lycée Michel Rodange,Law,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Juncker studied at the Roman Catholic école apostolique (secondary school) at Clairefontaine on the edge of Arlon in Belgium, before returning to Luxembourg to study for his Baccalaureate at Lycée Michel Rodange."
Jean-Claude Juncker,commissioner,University Of Strasbourg,Law,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied law at the University of Strasbourg, graduating with a master's degree in 1979; although he was sworn into the Luxembourg Bar Council in 1980, he never practised as a lawyer."
Jean-Claude Juncker,commissioner,École Apostolique (Secondary School) At Clairefontaine,Law,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Juncker studied at the Roman Catholic école apostolique (secondary school) at Clairefontaine on the edge of Arlon in Belgium, before returning to Luxembourg to study for his Baccalaureate at Lycée Michel Rodange."
Jessika Roswall,commissioner,Stockholm University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She moved to Uppsala to study law at Uppsala University and graduated in law (LLM) in 2002.
Joaquín Almunia,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He also completed a program at the Harvard Kennedy School at Harvard University for senior managers in government in 1991.
Joaquín Almunia,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He also completed a program at the Harvard Kennedy School at Harvard University for senior managers in government in 1991.
