Person,Category,Institution,Field of Study,Degree,Source Type,Source Name,Evidence Quote
Teresa Ribera,commissioner,Autonomous University Of Madrid,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Ribera has been an adjunct professor of the Department of Public Law and Philosophy of Law at the Autonomous University of Madrid.
Teresa Ribera,commissioner,Center For Constitutional Studies,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She graduated with a Bachelor of Laws from the Complutense University of Madrid in 1992, with further studies at the Center for Constitutional Studies attaining her another degree in constitutional law and political science."
Teresa Ribera,commissioner,Complutense University Of Madrid,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She graduated with a Bachelor of Laws from the Complutense University of Madrid in 1992, with further studies at the Center for Constitutional Studies attaining her another degree in constitutional law and political science."
Thierry Breton,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"From 2007 to 2008 he was a professor at Harvard Business School, before joining group Atos from 2009 to 2019 as its CEO."
Thierry Breton,commissioner,Institut Des Hautes Études De Défense Nationale (Ihedn),,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Breton received a master's degree in electrical engineering and computer science from École Supérieure d'Électricité (Supélec, now CentraleSupélec) in 1979 and later graduated from the Institut des hautes études de défense nationale (IHEDN)."
Thierry Breton,commissioner,Lycée Louis-Le-Grand,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He completed his middle and high school education at the École alsacienne in Paris and university-preparatory school classes for the grandes écoles at Lycée Louis-le-Grand.
Thierry Breton,commissioner,École Alsacienne,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He completed his middle and high school education at the École alsacienne in Paris and university-preparatory school classes for the grandes écoles at Lycée Louis-le-Grand.
Thierry Breton,commissioner,"École Supérieure D'Électricité (Supélec, Now Centralesupélec)",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Breton received a master's degree in electrical engineering and computer science from École Supérieure d'Électricité (Supélec, now CentraleSupélec) in 1979 and later graduated from the Institut des hautes études de défense nationale (IHEDN)."
Tibor Navracsics,commissioner,Eötvös Loránd University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He also received a PhD in political science at the Faculty of Law of the Eötvös Loránd University in 1999.
Tonio Borg,commissioner,Royal University Of Malta,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Graduating with a law degree in 1979, he would start lecturing at the University of Malta initially as a guest lecturer."
Ursula von der Leyen,commissioner,Hanover Medical School,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"in 1987, she acquired her medical licence from Hanover Medical School"
Ursula von der Leyen,commissioner,LSE,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She graduated from the London School of Economics in 1978, and in 1987, she acquired her medical licence from Hanover Medical School."
Ursula von der Leyen,commissioner,London School Of Economics,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She graduated from the London School of Economics in 1978
Valdis Dombrovskis,commissioner,Riga Technical University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Dombrovskis earned a bachelor's degree in economics for engineers from Riga Technical University in 1995
Valdis Dombrovskis,commissioner,University Of Latvia,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),and a master's degree in physics from the University of Latvia in 1996
Valdis Dombrovskis,commissioner,University Of Mainz,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He worked as a laboratory assistant at the Institute of Physics of the University of Mainz in Mainz, Germany, from 1995 to 1996"
Valdis Dombrovskis,commissioner,"University Of Maryland, College Park",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"and as a PhD student at the A. James Clark School of Engineering at the University of Maryland, College Park for electrical engineering in 1998"
Violeta Bulc,commissioner,"Faculty Of Electrical Engineering, University Of Ljubljana",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Bulc earned a bachelor's degree in computer science and informatics at the Faculty of Electrical Engineering, University of Ljubljana, Slovenia, as well as a master's degree in information technology at the Golden Gate University of San Francisco."
Violeta Bulc,commissioner,Golden Gate University Of San Francisco,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Bulc earned a bachelor's degree in computer science and informatics at the Faculty of Electrical Engineering, University of Ljubljana, Slovenia, as well as a master's degree in information technology at the Golden Gate University of San Francisco."
Virginijus Sinkevičius,commissioner,Aberystwyth University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He then pursued his undergraduate studies in Aberystwyth University from where he received a Bachelor of Economic and Social Studies degree in 2012.
Virginijus Sinkevičius,commissioner,Maastricht University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2013, he received a Master of Arts in European Studies from Maastricht University."
Virginijus Sinkevičius,commissioner,Salomėja Nėris Gymnasium Of Vilnius,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2009, Sinkevičius graduated from Salomėja Nėris Gymnasium of Vilnius, Lithuania, where he was born."
Virginijus Sinkevičius,commissioner,University Of Oxford,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2017, Sinkevičius completed Digital Policy course in University of Oxford."
Virginijus Sinkevičius,commissioner,University Of Oxford,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2017, Sinkevičius completed Digital Policy course in University of Oxford."
Viviane Reding,commissioner,Sorbonne,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Before starting a professional career as a journalist for the leading newspaper in Luxembourg, the Luxemburger Wort, Reding obtained a doctorate in human sciences at the Sorbonne."
Vladimír Špidla,commissioner,Charles University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Charles University
Vytenis Andriukaitis,commissioner,Kaunas Medical Institute,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After excelling at school, he enrolled at Kaunas Medical Institute, graduating in 1975."
Vytenis Andriukaitis,commissioner,Vilnius University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He continued his studies, pursuing a degree in history at Vilnius University, graduating in 1984."
Věra Jourová,commissioner,Charles University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2012, Jourová graduated with a magister degree from the Faculty of Law of Charles University."
Věra Jourová,commissioner,Charles University In Prague,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She studied cultural anthropology at Charles University in Prague, while raising two children."
Wopke Hoekstra,commissioner,Insead,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Hoekstra took elective courses in law and economics at LUISS in Rome in 2000, before he obtained an MBA degree at INSEAD in Fontainebleau, France and Singapore in 2005."
Wopke Hoekstra,commissioner,Leiden University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He also studied history at this university for one year, in which he received a propaedeutic diploma in 1997."
Wopke Hoekstra,commissioner,Luiss,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Hoekstra took elective courses in law and economics at LUISS in Rome in 2000, before he obtained an MBA degree at INSEAD in Fontainebleau, France and Singapore in 2005."
Ylva Johansson,commissioner,Lund University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Johansson studied at Lund University and the Stockholm Institute of Education between 1983–88 and 1991–92 respectively, and holds a Master of Science degree in education."
Ylva Johansson,commissioner,Stockholm Institute Of Education,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Johansson studied at Lund University and the Stockholm Institute of Education between 1983–88 and 1991–92 respectively, and holds a Master of Science degree in education."
Yves-Thibault de Silguy,commissioner,Sciences Po,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Sciences Po
Yves-Thibault de Silguy,commissioner,University Of Rennes,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: University of Rennes
Yves-Thibault de Silguy,commissioner,École Nationale D'Administration,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: École nationale d'administration
John Watson,ddg,College of Europe,,,unknown,unknown,
John Watson,ddg,"University Of Cambridge, Pembroke College",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1985 – 1988: Masters in Economics University of Cambridge, Pembroke College"
John Watson,ddg,"University Of Oxford, Magdalen College",,,unknown,unknown,
Nils Behrndt,ddg,University Of Kiel,Law,,unknown,unknown,
Nils Behrndt,ddg,University Of Kingston-Upon-Hull,Law,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1992: L.L.M in International Law, public international law, EU law and human rights law, University of Kingston-upon-Hull, United Kingdom"
Agnieszka KAŹMIERCZAK,dg,Institute Of Internal Auditors,,,unknown,unknown,
Agnieszka KAŹMIERCZAK,dg,"National School Of Public Administration, Warsaw, Poland",,,unknown,unknown,
Agnieszka KAŹMIERCZAK,dg,University Of Warsaw,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"➢ 1987 – 1993 Master of Arts, Applied Linguistics, University of Warsaw, Poland"
Alexandra Jour-Schroeder,dg,Geneva (Switzerland),Law,,unknown,unknown,
Alexandra Jour-Schroeder,dg,Universities Of Münster (Germany),Law,,unknown,unknown,
Alexandra Jour-Schroeder,dg,University Of Münster – Faculty Of Law,Law,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,1989 – 1990: University of Münster – Faculty of Law: Assistant lecturer
Ana Gallego Torres,dg,University Of Granada,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1992 – 1998: Degree in Law – University of Granada, Spain"
Andriana Sukova,dg,"Centre For European Studies – Sofia, Bulgaria",Economics,,unknown,unknown,
Andriana Sukova,dg,"Civil Service College, Sunningdale, Uk",Economics,,unknown,unknown,
Andriana Sukova,dg,Fao Rome,Economics,,unknown,unknown,
Andriana Sukova,dg,"Institute Of Agricultural Economics – Sofia, Bulgaria",Economics,,unknown,unknown,
Andriana Sukova,dg,University Of National And World Economy,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1981 – 1986: MSc in agricultural economics; Minor – Economic journalism – University of National and World Economy – Sofia, Bulgaria"
Andriana Sukova,dg,University Of Obihiro,Economics,,unknown,unknown,
Andriana Sukova,dg,"Wye College, Wye, Kent, Uk",Economics,,unknown,unknown,
Anthony Whelan,dg,"Hon. Society Of King'S Inns, Dublin",,,unknown,unknown,
Anthony Whelan,dg,"Law School, Trinity College – Dublin, Ireland",,,unknown,unknown,
Anthony Whelan,dg,"Sidney Sussex College, Cambridge",,,unknown,unknown,
Anthony Whelan,dg,Trinity College Dublin - Dublin,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"➢ 1991 – 1995: Lecturer in Public Law, Trinity College – Dublin, Ireland"
Beate Gminder,dg,Harvard,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Leadership course at Harvard Kennedy School, Cambridge"
Beatriz Sanz Redrado,dg,"University Of Humberside, Kingston Upon Hull",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"➢ 1994 Bachelor of Arts (Honours) in Business Administration (University of Humberside, UK)"
Bernard Magenhann,dg,Pricewaterhousecoopers,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,➢ PRICEWATERHOUSECOOPERS
Charlina Vitcheva,dg,Limerick University,Economics,,unknown,unknown,
Charlina Vitcheva,dg,University Of National And World Economy,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,09/1981 – 07/1986: Master of International Economic Relations - University of National and World Economy – Bulgaria.
Christian Roques,dg,Community Of European Management Schools,,,unknown,unknown,
Christian Roques,dg,Ecole Hec School Of Management,,,unknown,unknown,
Christian Roques,dg,Institut D'Etudes Politiques (Scpo),,,unknown,unknown,
Christian Roques,dg,Thiers Hypokhagne,,,unknown,unknown,
Christos Ellinides,dg,Engineering Council U.K.,,,unknown,unknown,
Christos Ellinides,dg,Nova University,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"07/06/1985: B.Sc. (cum laude – with honors) Computer Science and Business Administration, Nova University, Miami (U.S.A)"
Christos Ellinides,dg,The City University,,,unknown,unknown,
Claire Bury,dg,Council Of Legal Education,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,1987 – 1988: Bar Finals – Council of Legal Education
Claire Bury,dg,"University Of London, King'S College",,,unknown,unknown,
Clemens Ladenburger,dg,University Of Freiburg,Law,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,First State Exam in Law – University of Freiburg i. Br.
Colin Scicluna,dg,"Centre D’Études Des Relations Internationales Et Stratégiques, Université Libre ",,,unknown,unknown,
Colin Scicluna,dg,"European Commission – Brussels, Belgium",,,unknown,unknown,
Colin Scicluna,dg,"Faculty Of Laws – Tal-Qroqq, Malta",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1987 – 1991: Diploma of Notary Public, Faculty of Laws – Tal-Qroqq, Malta"
Colin Scicluna,dg,"Un Institute For Training And Research/International Peace Academy – Oslo, Norwa",,,unknown,unknown,
Dana Spinant,dg,College of Europe,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Administrative Studies, College of Europe - Bruges, Belgium"
Declan Costello,dg,Trinity College Dublin - Dublin,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs," 09/1984 – 06/1988: Degree in Economics - Trinity College Dublin - Dublin,"
Denis Redonnet,dg,Institut D'Études Politiques,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"University assistant, Institut d'Etudes Politiques de Paris"
Despina Spanou,dg,Ethniko & Koapodistriako,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"10/1988 – 09/1993: “Ptychio” Bachelor in Law – Ethniko & Koapodistriako – Athens, Greece"
Despina Spanou,dg,University Of Cambridge,,,unknown,unknown,
Despina Spanou,dg,University Of Exeter,,,unknown,unknown,
Ditte Juul Jørgensen,dg,College of Europe,Law,,unknown,unknown,
Ditte Juul Jørgensen,dg,University Of Copenhagen,Law,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"9/1985 – 1/1990: Law Degree (Cand.jur.) – University of Copenhagen, Copenhagen, Denmark"
Elisabeth Werner,dg,College of Europe,Economics,,unknown,unknown,
Elisabeth Werner,dg,University Of Vienna,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"10/1989 – 07/1995: Master’s degree in economics, University of Vienna/Austria"
Florika Fink-Hooijer,dg,Freie Universität - Berlin,,,unknown,unknown,
Florika Fink-Hooijer,dg,"Rheinische Friedrich Wilhelms Universität Bonn, Germany, Université De Lausanne ",,,unknown,unknown,
Florika Fink-Hooijer,dg,Université De Lausanne,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Degree in law (1. Juristisches Staatsexamen), Rheinische Friedrich Wilhelms Universität Bonn, Germany, Université de Lausanne (Switzerland) (1980-1985)"
Florika Fink-Hooijer,dg,Vrije Universiteit Brussel,,,unknown,unknown,
Genoveva Ruiz Calavera,dg,"Marlborough School, Los Angeles, Us",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1980 - 1981: Senior Year, Marlborough School, Los Angeles, US"
Genoveva Ruiz Calavera,dg,"Solvay Business School / Ulb – Brussels, Belgium",,,unknown,unknown,
Genoveva Ruiz Calavera,dg,"University Complutense Of Madrid, Spain",,,unknown,unknown,
Gerassimos Thomas,dg,Athens School Of Economics And Business,,,unknown,unknown,
Gerassimos Thomas,dg,City University Business School,,,unknown,unknown,
Gerassimos Thomas,dg,Essec Business School,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,2005: International Negotiations - ESSEC Business School
Gerassimos Thomas,dg,Université Libre De Bruxelles,,,unknown,unknown,
Gert Jan Koopman,dg,University Of Amsterdam,,,unknown,unknown,
Gert Jan Koopman,dg,University Of Utrecht,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,Lecturer of Economics at the University of Utrecht.
Guillaume Loriot,dg,College of Europe,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs," 09/1991 – 06-1992: Master of European Law  – College of Europe, Bruges,"
Herald Ruijters,dg,"Centre Européen Universitaire – Nancy, France",,,unknown,unknown,
Herald Ruijters,dg,"Katholieke Universiteit - Leuven, Belgium",,,unknown,unknown,
Herald Ruijters,dg,"Katholieke Universiteit Nijmegen – Nijmegen, The Netherlands",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Master French and Mediterranean Studies, Katholieke Universiteit Nijmegen – Nijmegen, the Netherlands"
Herald Ruijters,dg,"Universiteit Van Amsterdam – Amsterdam, The Netherlands",,,unknown,unknown,
Hubert Gambs,dg,Alcalá De Henares,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,1989-90 and 1992-93: European and international law studies at the Universities of Paris II Panthéon-Assas and Alcalá de Henares (Madrid) (exchange programmes)
Hubert Gambs,dg,Universities Of Paris Ii Panthéon-Assas,,,unknown,unknown,
Hubert Gambs,dg,University Of Innsbruck,,,unknown,unknown,
Hugo Sobral,dg,Universidade Do Minho,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1997 Bachelor of Arts in International Relations, Universidade do Minho, Braga/Portugal"
Ilkka Salmi,dg,University Of Turku,Law,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"➢ 06/1992: Master of Laws, University of Turku – Turku, Finland"
Ilkka Salmi,dg,Vrije Universiteit Brussel,Law,,unknown,unknown,
Ilze Juhansone,dg,Danish School Of Public Administration,Law,,unknown,unknown,
Ilze Juhansone,dg,European Institute Of Public Administration (Eipa),Law,,unknown,unknown,
Ilze Juhansone,dg,University Of Latvia,Law,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1989 - 1994: Master's degree in Philology, Faculty of Philology, University of Latvia"
Irena Moozová,dg,"Central European University, Prague",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"07 – 08/1992: International Summer Academy, Oxford University and Central European University, Prague"
Irena Moozová,dg,"Charles University, Faculty Of Law, Prague",,,unknown,unknown,
Irena Moozová,dg,Diplomatic Academy Of The Spanish Foreign Ministry,,,unknown,unknown,
Irena Moozová,dg,Oxford University,,,unknown,unknown,
Joanna Drake,dg,College of Europe,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"College of Europe in Bruges, Belgium"
Johannes Luchner,dg,Penn State University,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1987 – 1992: Ph.D. in international political economy Penn State University - University Park, Pennsylvania, United State"
John Berrigan,dg,University College Dublin,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs," 1985 - M.A. (Economics) awarded October - University College Dublin, Republic of Ireland"
Kerstin Jorna,dg,Bonn,Law,,unknown,unknown,
Kerstin Jorna,dg,College Of Bruges,Law,,unknown,unknown,
Kerstin Jorna,dg,Hamburg,Law,,unknown,unknown,
Kerstin Jorna,dg,Hamburg Law Faculty,Law,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,1986 – 1989: Academic assistant at Hamburg Law Faculty
Kestutis Sadauskas,dg,"Institute Of Political Science And International Relations, Vilnius University",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1992 – 1994: Master Degree in International Relations – Institute of Political Science and International Relations, Vilnius University – Vilnius, Lithuania"
Koen Doens,dg,"Antwerp University - Ufsia – Antwerp, Belgium",,,unknown,unknown,
Koen Doens,dg,"Antwerp University - Ufsia – Antwerp, Belgium",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"09/1983 – 06/1986: Bachelor in Classical Philology – Antwerp University - UFSIA – Antwerp, Belgium"
Koen Doens,dg,"Katholieke Universiteit – Kul – Leuven, Belgium",,,unknown,unknown,
Kurt Vandenberghe,dg,"Catholique De Louvain-La-Neuve, Louvain",Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Université Catholique de Louvain-la-Neuve, Louvain-la-Neuve,"
Leopoldo Rubinacci,dg,"Ecole De Commerce Solvay, Université Libre De Bruxelles",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"09/1985 – 06/1991 : Ingénieur Commercial, Ecole de commerce Solvay, Université Libre de Bruxelles, Belgium"
Linsey McCallum,dg,College of Europe,,,unknown,unknown,
Linsey McCallum,dg,"University Of Glasgow, Law School, United Kingdom",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1985 – 1989: LL.B First Class Honours in EU law University of Glasgow, Law School, United Kingdom"
Lorena Boix Alonso,dg,Université Libre De Bruxelles,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Université Libre de Bruxelles – Brussels, Belgium"
Maarten Verwey,dg,Rijksuniversiteit Groningen,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1988-1994: Masters Degree in Economics (macro economics and finance), Rijksuniversiteit Groningen"
Maarten Verwey,dg,University Of London (Soas/Cefims),Economics,,unknown,unknown,
Maciej Popowski,dg,Polish Institute For International Relations (Pism),,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Postgraduate Foreign Service Training Polish Institute for International Relations (PISM) - Warsaw, Poland"
Maciej Popowski,dg,University Of Wroclaw,,,unknown,unknown,
Magda Kopczyńska,dg,Jagiellonian University,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1988 – 1995 Master of Arts, English Studies, Jagiellonian University, Krakow, Poland"
Magda Kopczyńska,dg,Warsaw University,,,unknown,unknown,
Maive Rute,dg,"Ceris, Brussels",Economics,,unknown,unknown,
Maive Rute,dg,"Danube University Krems, Austria",Economics,,unknown,unknown,
Maive Rute,dg,Estonian Banking Union,Economics,,unknown,unknown,
Maive Rute,dg,Estonian University Of Life Sciences,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"➢ 1991: Degree in economics, Estonian University of Life Sciences (magna cum laude)"
Maive Rute,dg,Harvard,Economics,,unknown,unknown,
Maja Bakran Marcich,dg,"Faculty Of Medicine, University Of Zagreb",,,unknown,unknown,
Maja Bakran Marcich,dg,"Faculty Of Natural Sciences, University Of Zagreb",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1992: Graduated from Faculty of Natural Sciences, University of Zagreb"
Marc Lemaître,dg,College of Europe,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,Marc Lemaître studied at Université Libre de Bruxelles (ULB) and Bruges (College of Europe) and holds a Master in European Economics.
Marc Lemaître,dg,Université Libre De Bruxelles,,,unknown,unknown,
Maria Martin-Prat De Abreu,dg,European Institute Of The University Of Amsterdam,,,unknown,unknown,
Maria Martin-Prat De Abreu,dg,"Facultad De Derecho, Universidad De Sevilla",,,unknown,unknown,
Maria Martin-Prat De Abreu,dg,Institute Of European Studies Of The Free University Of Brussels (Ulb),,,unknown,unknown,
Mariana Kotzeva,dg,University Of National And World Economy,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"M.A. in Economics, Specialization Statistics University of National and World Economy, Sofia, Bulgaria"
Mario Nava,dg,Harvard Business School,Economics,,unknown,unknown,
Mario Nava,dg,Liceo Classico Tito Livio,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"➢ 09/1980- 07/1985: Gram mar High School, main subjects Latin, Greek, Italian. School leaving certificate (maturità classica) of 58/60 - Liceo Classico Tito Livio"
Mario Nava,dg,London School Of Economics,Economics,,unknown,unknown,
Mario Nava,dg,"Università Commerciale Luigi Bocconi, Milan",Economics,,unknown,unknown,
Mario Nava,dg,Université Catholique De Louvain,Economics,,unknown,unknown,
Marjeta Jager,dg,University Of Ljubljana - Faculty Of Law,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,1/10/1986 – 30/06/1991: Bachelor of Law + Bar exam (International Law) - University of Ljubljana - Faculty of Law
Martin Seychell,dg,Royal University Of Malta,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,Bachelor of Pharmaceutical Technology (Honours) from the University of Malta – Second Class Lower Honours degree.
Matthew Baldwin,dg,"Corpus Christi College, Oxford University - Oxford",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Corpus Christi College, Oxford University - Oxford, United Kingdom"
Matthew Baldwin,dg,Harvard,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Kennedy School of Government, Harvard University - Cambridge,"
Mechthild Wörsdörfer,dg,"Free University Of Brussels, Institut Des Etudes Européennes",,,unknown,unknown,
Mechthild Wörsdörfer,dg,University Of Montpellier,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1987 – 1989: Maîtrise et Licence en Sciences économiques, Économie monétaire et financière – University of Montpellier, France"
Myriam Ferran,dg,Institut D’Etudes Européennes – Université Libre De Bruxelles,,,unknown,unknown,
Myriam Ferran,dg,Institut National Agronomique Paris-Grignon (Inapg),,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,Engineer in Agronomics – Institut National Agronomique Paris-Grignon (INAPG)
Myriam Ferran,dg,John F. Kennedy School Of Government – Harvard University,,,unknown,unknown,
Myriam Ferran,dg,École Du Génie Rural Des Eaux Et Forêts (Engref),,,unknown,unknown,
Normunds Popens,dg,Riga Technical University,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"➢ 1984 – 1989: Engineer -Chemist, diploma of MA equivalent – Riga Technical University"
Normunds Popens,dg,University Of Latvia,,,unknown,unknown,
Olivier Onidi,dg,College of Europe,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs, 1990: European Administrative Studies - College of Europe – Bruges
Patrick Anthony Child,dg,"Trinity Hall, Cambridge University, Uk",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1984 - 1987: BA Degree – Mathematics Trinity Hall, Cambridge University, UK"
Philippe Van Damme,dg,University Of Ghent,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1993 M.Sc. Electronics Engineering, University of Ghent – Ghent, Belgium"
Philippe Van Damme,dg,Vlerick Business School,,,unknown,unknown,
Pia Ahrenkilde Hansen,dg,Copenhagen Business School,Political Science,,unknown,unknown,
Pia Ahrenkilde Hansen,dg,Institut D’Etudes Politiques De Paris,Political Science,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"1982 - 1983: Certificat d’Etudes Politiques, INSTITUT D’ETUDES POLITIQUES DE PARIS"
Renate Nikolay,dg,"American University, Washington College Of Law",,,unknown,unknown,
Renate Nikolay,dg,"Free University, Berlin, Germany",,,unknown,unknown,
Renate Nikolay,dg,"High Court, Berlin, Germany",,,unknown,unknown,
Renate Nikolay,dg,"Humboldt University Berlin, Germany",,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"07/1995 – 06/1997: Research Assistant, Humboldt University Berlin, Germany"
Renate Nikolay,dg,"University Of Grenoble, France",,,unknown,unknown,
Roberto Viola,dg,"Universita S. Orsola, Naples",,,unknown,unknown,
Roberto Viola,dg,University Of Rome,,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"2011-2012 University of Rome, Lecturer in ICT business models"
Roberto Viola,dg,University Of Rome La Sapienza,,,unknown,unknown,
Sabine Weyand,dg,College of Europe,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Diploma of advanced European studies, College of Europe, Dominante administrative."
Sabine Weyand,dg,Freiburg Universit,Economics,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs," 1983 – 1990: studied political science, economics and English literature and linguistics at Freiburg"
Salla Saastamoinen,dg,University Of Helsinki,Law,,commission_cv_pdf,Commission persons directory — DG/DDG CV PDFs,"Researcher in Law, University of Helsinki and"
