wikidata_id,wikipedia_title
Q104381399,Diana_%C8%98o%C8%99oac%C4%83
Q104598998,Adrian-George_Axinia
Q104686899,Alin_Mitu%C8%9Ba
Q105080282,Friedrich_P%C3%BCrner
Q126596118,Alberico_Gambino
Q126596580,Marco_Squarta
Q126600111,Geadis_Geadi
Q126616226,Ciaran_Mullooly
Q126655707,Peter_Agius
Q126678825,Thomas_Bajada
Q126680565,Arno_Bausemer
Q126683791,Taner_Kabilov
Q126716046,Anja_Arndt
Q126717449,Borja_Gim%C3%A9nez_Larraz
Q126723773,Alexander_Sell
Q126728399,Beno%C3%AEt_Cassart
Q126728517,Jan-Peter_Warnke
Q126735144,Diego_Solier
Q126759263,Ingeborg_ter_Laak
Q126811559,Luis_Lazarus
Q126840144,Catarina_Vieira
Q126843005,Reinis_Poz%C5%86aks
Q126869662,Jessika_van_Leeuwen
Q126870308,Anouk_van_Brug
Q126902868,Benedetta_Scuderi
Q126908619,Cristina_Guarda
Q126918590,Brigitte_van_den_Berg
Q126919014,Nora_Junco
Q126936227,Antonella_Sberna
Q127009304,S%C3%A9rgio_Gon%C3%A7alves
Q127160696,Sebastian_Kruis
Q127173543,Marco_Falcone_(politician)
Q127179431,Pierfrancesco_Maran
Q127220458,Stefano_Cavedagna
Q127226353,Bruno_Gon%C3%A7alves_(politician)
Q127267911,Ruggero_Razza
Q127268764,Danilo_Della_Valle
Q127271497,Gheorghe_C%C3%A2rciu
Q127271825,Ana_Miguel_Pedro
Q127273378,Daniele_Polato
Q127277642,Michele_Picaro
Q127328445,Jorge_Mart%C3%ADn_Fr%C3%ADas
Q127414361,Fernando_Navarrete
Q127417743,Giuseppe_Lupo
Q127417808,Maravillas_Abad%C3%ADa
Q127467131,Ana_Vasconcelos_Martins
Q127510648,Georgiana_Teodorescu
Q127511267,Paulo_do_Nascimento_Cabral
Q127599331,Marieke_Ehlers
Q127599332,Judita_La%C5%A1%C5%A1%C3%A1kov%C3%A1
Q127599328,Rachel_Blom
Q127599333,Rada_Laykova
Q127599330,Ton_Diepeveen
Q126489685,Nicol%C3%A1s_Pascual_de_la_Parte
Q126490469,Estelle_Ceulemans
Q126504150,Lukas_Sieper
Q126504934,Irmhild_Bossdorf
Q126522622,Ruth_Firmenich
Q126524706,Giovanni_Crosetto
Q126532675,Mariateresa_Vivaldini
Q126540636,Lucia_Yar
Q126541156,Kai_Tegethoff
Q126541329,Alexander_Jungbluth
Q126543809,Daniel_Attard
Q126595838,Maria_Zacharia
Q126596116,Paolo_Inselvini
Q13104358,Nicolas_Schmit
Q1503075,Geoffrey_Van_Orden
Q1507084,Reinhold_Lopatka
Q1509909,Gerald_Hauser
Q1628512,Milan_Zver
Q1640725,Hynek_Bla%C5%A1ko
Q1735624,Katar%C3%ADna_Roth_Neve%C4%8Falov%C3%A1
Q1862392,Alexis_Georgoulis
Q1876930,Lukas_Mandl
Q1892853,Marc_Tarabella
Q1895909,Vangelis_Meimarakis
Q1922673,Gilbert_Collard
Q12956737,Davor_Ivo_Stier
Q13105242,Tilly_Metz
Q2477402,Ulrike_M%C3%BCller_(politician)
Q2507571,Adam_Bielan
Q2542770,Younous_Omarjee
Q2586585,Witold_Pahl
Q14476134,Stelios_Kouloglou
Q14541202,G%C3%BCnther_Sidl
Q15055614,Alessandra_Moretti
Q17409262,Ivaylo_Valchev
Q17410051,Ivo_Hristov
Q19725706,Jaak_Madison
Q19760666,Assita_Kanko
Q20251661,Laura_Huhtasaari
Q20253947,Katri_Kulmuni
Q20254806,Alviina_Alamets%C3%A4
Q20481002,L%C3%B3r%C3%A1nt_Vincze
Q20525324,Valter_Flego
Q20525869,Ladislav_Il%C4%8Di%C4%87
Q20535883,Nicol%C3%A1s_Gonz%C3%A1lez_Casares
Q20562562,Rihards_Kols
Q24641234,Clotilde_Armand
Q116719,Diane_Dodds
Q1476255,S%C3%B8ren_Gade
Q127599334,%C8%98erban-Dimitrie_Sturdza
Q12796084,Matej_Tonin
Q116812,Oriol_Junqueras
Q1157638,Dainius_%C5%BDalimas
Q1285126,Miros%C5%82awa_Nykiel
Q1285166,Herbert_Dorfmann
Q1287239,Nils_U%C5%A1akovs
Q1296952,Wolfram_Pirchner
Q1450883,Fran%C3%A7ois_Alfonsi
Q1485198,Marcel_Kolaja
Q1499562,Joachim_Schuster
Q1502078,Waldemar_Tomaszewski
Q168205,Grzegorz_Braun
Q1985836,Niclas_Herbst
Q1986007,Nico_Semsrott
Q1986069,Nicola_Beer
Q1994987,Jeannette_Baljeu
