Name,Country,Constituency,National_Party,EP_Group,In_Office_Since,Birth_Date,Notes
Virginie Joron,France,,RN,Patriots for Europe,,2 July 2019,
Julien Sanchez,France,,RN,Patriots for Europe,,16 July 2024,
Julie Rechagneux,France,,RN,Patriots for Europe,,16 July 2024,
Aleksandar Nikolic,France,,RN,Patriots for Europe,,16 July 2024,
Valérie Deloge,France,,RN,Patriots for Europe,,16 July 2024,
Rody Tolassy,France,,RN,Patriots for Europe,,16 July 2024,
Marie Dauchy,France,,RN,Patriots for Europe,,28 July 2022,
Pierre-Romain Thionnet,France,,RN,Patriots for Europe,,16 July 2024,
Pierre Pimpie,France,,RN,Patriots for Europe,,16 July 2024,
Sylvie Josserand,France,,RN,Patriots for Europe,,16 July 2024,26 September 2024
Julien Leonardelli,France,,RN,Patriots for Europe,,16 July 2024,
Angéline Furet,France,,RN,Patriots for Europe,,16 July 2024,
Gaëtan Dussausaye,France,,RN,Patriots for Europe,,16 July 2024,26 September 2024
France Jamet,France,,RN,Patriots for Europe,,21 July 2017,
André Rougé,France,,RN,Patriots for Europe,,2 July 2019,
Christophe Bay,France,,RN,Patriots for Europe,,27 September 2024,
Séverine Werbrouck,France,,RN,Patriots for Europe,,27 September 2024,
Valérie Hayer,France,,BdE,Renew Europe,,2 July 2019,
Bernard Guetta,France,,BdE,Renew Europe,,2 July 2019,
Marie-Pierre Vedrenne,France,,BdE,Renew Europe,,2 July 2019,11 October 2025
Pascal Canfin,France,,BdE,Renew Europe,,2 July 2019,
Nathalie Loiseau,France,,BdE,Renew Europe,,2 July 2019,
Sandro Gozi,France,,BdE,Renew Europe,,1 February 2020,
Fabienne Keller,France,,BdE,Renew Europe,,2 July 2019,
Grégory Allione,France,,BdE,Renew Europe,,16 July 2024,
Laurence Farreng,France,,BdE,Renew Europe,,2 July 2019,
Gilles Boyer,France,,BdE,Renew Europe,,2 July 2019,
Valérie Devaux,France,,BdE,Renew Europe,,16 July 2024,
Christophe Grudler,France,,BdE,Renew Europe,,2 July 2019,
Stéphanie Yon-Courtin,France,,BdE,Renew Europe,,2 July 2019,
Jérémy Decerle,France,,BdE,Renew Europe,,12 October 2025,
Raphaël Glucksmann,France,,PS–PP,S&D,,2 July 2019,
Nora Mebarek,France,,PS–PP,S&D,,1 February 2020,
Pierre Jouvet,France,,PS–PP,S&D,,16 July 2024,
Aurore Lalucq,France,,PS–PP,S&D,,2 July 2019,
Christophe Clergeau,France,,PS–PP,S&D,,2 June 2023,
Murielle Laurent,France,,PS–PP,S&D,,16 July 2024,
Jean-Marc Germain,France,,PS–PP,S&D,,16 July 2024,
Emma Rafowicz,France,,PS–PP,S&D,,16 July 2024,
Thomas Pellerin-Carlin,France,,PS–PP,S&D,,16 July 2024,
Chloé Ridel,France,,PS–PP,S&D,,16 July 2024,
Éric Sargiacomo,France,,PS–PP,S&D,,16 July 2024,
Claire Fita,France,,PS–PP,S&D,,16 July 2024,
François Kalfon,France,,PS–PP,S&D,,16 July 2024,
Manon Aubry,France,,LFI,The Left,,2 July 2019,
Younous Omarjee,France,,LFI,The Left,,4 January 2012,
Marina Mesure,France,,LFI,The Left,,29 July 2022,
Anthony Smith,France,,LFI,The Left,,16 July 2024,
Leïla Chaibi,France,,LFI,The Left,,2 July 2019,
Arash Saeidi,France,,LFI,The Left,,16 July 2024,
Rima Hassan,France,,LFI,The Left,,16 July 2024,
Damien Carême,France,,LFI,The Left,,2 July 2019,
Emma Fourreau,France,,LFI,The Left,,16 July 2024,
François-Xavier Bellamy,France,,LR,EPP,,2 July 2019,
