Name,Country,Role,Court,wikidata_id,name,birth_date,birth_place,nationality,education,occupations,employers,party_history,positions_held,page_memberships
Mihail Visoiu,Romania,Judge,CJ,,,,,,,,,,,
Thomas Borg,Malta,Judge,CJ,Q112438944,Thomas Borg,1958-01-01,Marburg,,,literary scholar,,,,
Beatrix Ricziová,Slovakia,Judge,CJ,Q113145391,Beatrix Ricziová,1981-01-01,Bratislava,Slovakia,,judge,General Court,,,
Dragos-Bogdan Raduletu,Romania,Judge,CJ,,,,,,,,,,,
Maciej Szpunar,Poland,Advocate General (First AG),AG,Q11765668,Maciej Szpunar,1971-05-24,Kraków,Poland,College of Europe || Q9296379 || Law Faculty of University of Silesia in Katowice,lawyer || politician || jurist || university teacher || legal scholar,Ministry of Foreign Affairs of Poland || University of Silesia in Katowice || European Court of Justice || Committee for European Integration,,Advocate General of the European Court of Justice || First Advocate General of the European Court of Justice || Undersecretary of State,
Juliane Kokott,Germany,Advocate General,AG,Q95333,Juliane Kokott,1957-06-18,Frankfurt,Germany,Harvard Law School || Heidelberg University,jurist || university teacher,University of Düsseldorf || University of Mannheim || University of Augsburg || University of St. Gallen,,,
Manuel Campos Sánchez-Bordona,Spain,Advocate General,AG,Q110101688,Manuel Campos Sánchez-Bordona,,,,,,,,,Member of the Junta Electoral Central (Spain) from 2012 to 2015 | Member of the scientific committee of Revista Española de Derecho Europeo | Member of the scientific committee of Revista General de Derecho Europeo | Member of the scientific committee of Revista de Derecho Comunitario Europeo | Biography and career
Priit Pikamäe,Estonia,Advocate General,AG,Q15298066,Priit Pikamäe,1973-11-22,Tallinn,Estonia,University of Tartu,judge || lawyer || chairperson,,,Chief Justice of Supreme Court,
Jean Richard de la Tour,France,Advocate General,AG,Q110101692,Jean Richard de la Tour,1959-08-19,Le Dorat,France,,,,,Advocate General of the European Court of Justice,"Member of the Société de Législation Comparée (Society of Comparative Legislation) | Member of the association of members of the Conseil d’État | Member of the association of students and alumni of the École nationale d’administration (ENA) | Member of the scientific committee of Revue universelle des droits de l’Homme | Member of the students’ association of the Institut d’études politiques (IEP) de Grenoble | Chevalier de la Légion d’honneur (awarded by decree of the President of the French Republic) (2012) | Biography and career | Born in 1968 in Copenhagen, Mr&#xa0;Niels Fenger obtained his law degree in 1992 at the Københavns Universitet (University of Copenhagen, Denmark) and his doctorate in law in 2004 at Aarhus Universitet (Aarhus University, Denmark). | He began his professional career at the Danish Ministry of Justice, where he was Head of Section at the European Union Law Office from 1992 to 1993 and at the Civil Law Office from 1993 to 1994. In 1994, he joined the Court of Justice of the European Union as a legal secretary in the cabinet of Advocate General Michael Bendik Elmer. | On his return to Denmark in 1995, he taught, as a researcher, administrative law and EU law at the Københavns Universitet. Between 1996 and 2000, he returned to the Danish Ministry of Justice as Head of Section at the Constitutional and Administrative Law Office. | In 2001, he joined the Danish Ministry of the Interior as Head of Office where he was responsible for monitoring the legality of municipal decisions relating to trade and the environment. In 2002, he was appointed Director of the legal department of the European Free Trade Association (EFTA) Surveillance Authority, a post he held until 2009, representing that institution before the Court of Justice of the European Union and the EFTA Court."
Athanasios Rantos,Greece,Advocate General,AG,Q85416387,Athanasios Rantos,1953-01-01,Athens,Greece,National and Kapodistrian University of Athens || Université libre de Bruxelles,judge || lawyer,,,Advocate General of the European Court of Justice,
Ioannis Gratsias,Greece,Advocate General,AG,,,,,,,,,,,
Tamara Ćapeta,Croatia,Advocate General,AG,Q96294831,Tamara Ćapeta,,,,,,,,,
Laila Medina,Latvia,Advocate General,AG,Q96294843,Laila Medina,,,,,,,,,
Nicholas Emiliou,Cyprus,Advocate General,AG,Q106603083,Nicholas Emiliou,,,,,,,,,
Andrea Biondi,Italy,Advocate General,AG,Q17484476,Andrea Biondi,1965-01-01,,Italy,,lawyer || university teacher,King's College London,,,
Darius Norkus,Lithuania,Advocate General,AG,Q96303272,Darius Norkus,,,,,,,,,
