Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Csaba Molnár,Hungary,,DK–MSZP–P,S&D,Q967118,2024-07-16,1975-12-04,Csorna,Eötvös Loránd University,politician || jurist,,Hungarian Socialist Party || Democratic Coalition,,"Minister for Transport, Communications and Energy (2008-12-01 to 2009-04-15) || member of the National Assembly of Hungary (2011-10-24 to 2014-06-20) || Minister in charge of the Prime Minister's Office (2009-04-16 to 2010-05-29) || member of the National Assembly of Hungary (2006-05-16 to 2011-10-23)"
Zsuzsanna Borvendég,Hungary,,MHM,Europe of Sovereign Nations,Q102395874,2024-07-16,1974-11-04,Tatabánya,Pázmány Péter Catholic University,politician || historian,,,Knight's Crosses of the Order of Merit of the Republic of Hungary,
Barry Andrews,Ireland,Dublin,FF,Renew Europe,Q3777503,2024-07-16,1967-05-16,Dublin,University College Dublin,politician || barrister || secondary school teacher,,Fianna Fáil,,Teachta Dála (2002-06-06 to 2007-04-26) || Minister of State for Children (2008-05-07 to 2011-03-09) || Teachta Dála (2007-06-14 to 2011-02-01)
Lynn Boylan,Ireland,Dublin,SF,The Left,Q16945605,2024-07-16,1976-11-29,Dublin,University College Dublin,politician,,Sinn Féin,,senator of Ireland (2020-06-29 to 2024-07-16)
Regina Doherty,Ireland,Dublin,FG,EPP,Q7308461,2024-07-16,1971-01-26,Dublin,Dublin Institute of Technology,politician,,Fine Gael,,Minister for Social Protection (2017-06-14 to 2020-06-27) || Minister of State at the Department of the Taoiseach (2016-05-06 to 2017-06-14) || senator of Ireland (2020-06-29 to 2024-07-10) || Teachta Dála (2016-03-10 to 2020-01-14) || Leader of the Seanad (2020-06-29 to 2022-12-17) || Teachta Dála (2011-03-09 to 2016-02-03)
Aodhán Ó Ríordáin,Ireland,Dublin,LAB,S&D,Q4778602,2024-07-16,1976-07-22,Dublin,University College Dublin || Malahide Community School,politician,,Labour Party,,Teachta Dála (2011-03-09 to 2016-02-03) || senator of Ireland (2016-06-08 to 2020-03-27) || Teachta Dála (2020-02-08 to 2024-07-15)
Luke 'Ming' Flanagan,Ireland,Midlands–North-West,IND,The Left,Q3778169,2024-07-16,1972-01-22,Roscommon,,politician,,,,Teachta Dála (2011-03-09 to 2014-05-26)
Barry Cowen,Ireland,Midlands–North-West,FF,Renew Europe,Q4864133,2024-07-16,1967-08-28,Clara,"University of Galway || Cistercian College, Roscrea",politician,,Fianna Fáil,,Teachta Dála (2016-03-10 to 2020-01-14) || Representative of the Parliamentary Assembly of the Council of Europe (from 2016-10-10) || Teachta Dála (2020-02-08 to 2024-07-15) || Teachta Dála (2011-03-09 to 2016-02-03)
Nina Carberry,Ireland,Midlands–North-West,FG,EPP,Q7037886,2024-07-16,1984-07-21,Ashbourne,,politician || jockey,,Fine Gael,,
Maria Walsh,Ireland,Midlands–North-West,FG,EPP,Q63978256,2024-07-16,1987-06-11,Boston,Griffith College Dublin,businessperson || politician,,Fine Gael,,
Ciarán Mullooly,Ireland,Midlands–North-West,II,Renew Europe,,,,,,,,,,
Seán Kelly,Ireland,South,FG,EPP,Q1381218,2024-07-16,1952-04-26,Killarney,"University College Dublin || St Patrick's College, Dublin || St. Brendan's College, Killarney",politician || hurler,,Fine Gael,,President of the Gaelic Athletic Association (2003-01-01 to 2006-01-01)
Billy Kelleher,Ireland,South,FF,Renew Europe,Q559402,2024-07-16,1968-01-20,Cork,Cork Institute of Technology,politician || farmer,,Fianna Fáil,,"Teachta Dála (2007-06-14 to 2011-02-01) || Teachta Dála (2016-03-10 to 2019-06-28) || Teachta Dála (2002-06-06 to 2007-04-26) || senator of Ireland (1993-02-17 to 1997-06-06) || Teachta Dála (1997-06-26 to 2002-04-25) || Teachta Dála (2011-03-09 to 2016-02-03) || Minister of State at the Department of Enterprise, Trade and Employment (2007-06-20 to 2009-04-21) || Minister of State for Trade and Development (2009-04-22 to 2011-03-09)"
Cynthia Ní Mhurchú,Ireland,South,FF,Renew Europe,Q926087,2024-07-16,1966-01-01,Carlow,,politician || barrister || journalist || presenter,,,,
Kathleen Funchion,Ireland,South,SF,The Left,Q23006297,2024-07-16,1981-04-22,Kilkenny,"American College, Dublin",politician,,Sinn Féin,,Teachta Dála (2016-03-10 to 2020-01-14) || Teachta Dála (2020-02-08 to 2024-07-15)
Michael McNamara,Ireland,South,IND,Renew Europe,Q6832776,2024-07-16,1974-03-01,Scarriff,University College Cork,politician || barrister,,Labour Party || Independent politician (Ireland),,Teachta Dála (2011-03-09 to 2015-05-29) || Teachta Dála (2020-02-08 to 2024-07-15) || Teachta Dála (2015-09-16 to 2016-02-03) || Teachta Dála (2015-05-30 to 2015-09-15) || substitute member of the Parliamentary Assembly of the Council of Europe (2011-10-03 to 2012-01-23) || Representative of the Parliamentary Assembly of the Council of Europe (2012-01-23 to 2016-08-27)
Carlo Fidanza,Italy,North-West Italy,FdI,ECR,Q3659342,2024-07-16,1976-09-21,San Benedetto del Tronto,,politician,,National Alliance || Brothers of Italy,,Representative of the Parliamentary Assembly of the Council of Europe (from 2018-10-08) || member of the Chamber of Deputies of the Italian Republic (2018-03-19 to 2019-06-27)
Mario Mantovani,Italy,North-West Italy,FdI,ECR,Q1055587,2024-07-16,1950-07-28,Arconate,,businessperson || politician,,The People of Freedom || Forza Italia,,mayor of Arconate (2001-05-13 to 2006-04-06) || member of the Senate of the Italian Republic (2008-04-23 to 2013-03-14) || mayor of Arconate (2009-06-07 to 2014-05-26) || assessor of a place in Italy (2015-09-01 to 2015-10-13) || mayor of Arconate (2006-04-06 to 2008-05-08) || member of the Senate of the Italian Republic (2013-03-05 to 2013-06-03) || Vice-President of an Italian regional council (from 2013-03-20) || assessor of a place in Italy (2013-03-20 to 2015-09-01)
Giovanni Crosetto,Italy,North-West Italy,FdI,ECR,Q126524706,2024-07-16,1990-08-12,Savigliano,,politician,,,,
Lara Magoni,Italy,North-West Italy,FdI,ECR,Q450027,2024-07-16,1969-01-29,Alzano Lombardo,,politician || alpine skier,,Brothers of Italy,,member of the Senate of the Italian Republic (2018-03-20 to 2018-07-10)
Pietro Fiocchi,Italy,North-West Italy,FdI,ECR,Q64737145,2024-07-16,1964-05-22,Milan,University of Missouri,politician,,Brothers of Italy,,
Mariateresa Vivaldini,Italy,North-West Italy,FdI,ECR,Q126532675,2024-07-16,1967-11-22,Brescia,,politician || entrepreneur,,,,
Paolo Inselvini,Italy,North-West Italy,FdI,ECR,Q126596116,2024-07-16,1994-10-05,Brescia,University of Brescia || Liceo Scientifico Madonna Della Neve,politician,,,,
Elena Donazzan,Italy,North-East Italy,FdI,ECR,Q3721414,2024-07-16,1972-06-22,Bassano del Grappa,,politician,,National Alliance || Brothers of Italy,,member of the Chamber of Deputies of the Italian Republic (2006-04-28 to 2006-04-28)
Stefano Cavedagna,Italy,North-East Italy,FdI,ECR,Q127220458,2024-07-16,1989-12-09,Bologna,,politician,,Brothers of Italy,,
Sergio Berlato,Italy,North-East Italy,FdI,ECR,Q2755156,2024-07-16,1959-07-27,Marano Vicentino,,politician,,National Alliance,,
Alessandro Ciriani,Italy,North-East Italy,FdI,ECR,Q57037488,2024-07-16,1970-08-02,Pordenone,University of Trieste,politician,,independent politician,,mayor of Pordenone (2016-06-20 to 2024-07-01) || president of the Province of Pordenone (2009-06-07 to 2014-11-26)
Daniele Polato,Italy,North-East Italy,FdI,ECR,Q127273378,2024-07-16,1975-06-04,Verona,,politician,,,,
Nicola Procaccini,Italy,Central Italy,FdI,ECR,Q64585327,2024-07-16,1976-01-21,Rome,Sapienza University of Rome,politician,,The People of Freedom,,mayor of Terracina (2011-05-30 to 2015-05-06) || mayor of Terracina (2016-06-21 to 2019-07-19)
Marco Squarta,Italy,Central Italy,FdI,ECR,Q126596580,2024-07-16,1979-06-04,Perugia,,lawyer || politician,,,,
Carlo Ciccioli,Italy,Central Italy,FdI,ECR,Q3659195,2024-07-16,1952-11-19,Ancona,,politician,,National Alliance,,member of the Chamber of Deputies of the Italian Republic (2008-04-23 to 2013-03-14) || member of the Chamber of Deputies of the Italian Republic (2006-04-21 to 2008-04-28)
Antonella Sberna,Italy,Central Italy,FdI,ECR,Q126936227,2024-07-16,1982-01-11,Rome,,politician,,Brothers of Italy,,
Francesco Torselli,Italy,Central Italy,FdI,ECR,Q125573231,2024-07-16,1976-03-09,Florence,,politician,,Brothers of Italy,,member of the Regional Council of Tuscany (2020-10-08 to 2024-07-09)
Alberico Gambino,Italy,Southern Italy,FdI,ECR,Q126596118,2024-07-16,1967-12-07,Pagani,,politician,,,,
Francesco Ventola,Italy,Southern Italy,FdI,ECR,Q3750778,2024-07-16,1971-05-12,Canosa di Puglia,,politician,,The People of Freedom,,president of the Province of Barletta-Andria-Trani (2009-06-08 to 2014-10-14) || mayor of a place in Italy
Denis Nesci,Italy,Southern Italy,FdI,ECR,Q115056535,2024-07-16,1981-07-25,Polistena,,politician,,,,
Michele Picaro,Italy,Southern Italy,FdI,ECR,Q127277642,2024-07-16,1981-05-15,Bari,,politician,,,,
Chiara Maria Gemma,Italy,Southern Italy,FdI,ECR,Q64156493,2024-07-16,1968-09-20,Brindisi,University of Bari,politician || university teacher || didactician,University of Bari,Five Star Movement || independent politician || Brothers of Italy || Together for the Future || Civic Commitment,,
Giuseppe Milazzo,Italy,Italian Islands,FdI,ECR,Q64692014,2024-07-16,1977-08-21,Palermo,Libera Università Maria SS. Assunta,politician,,The People of Freedom,,
Ruggero Razza,Italy,Italian Islands,FdI,ECR,Q127267911,2024-07-16,1980-09-23,Milan,,lawyer || politician,,,,
Cecilia Strada,Italy,North-West Italy,PD,S&D,Q27267672,2024-07-16,1979-03-12,Milan,,writer || politician,,,,
Giorgio Gori,Italy,North-West Italy,PD,S&D,Q3765505,2024-07-16,1960-03-24,Bergamo,Polytechnic University of Milan || Paolo Sarpi,politician || entrepreneur || journalist,,Democratic Party,,member of the Regional Council of Lombardy || mayor of Bergamo (2014-06-10 to 2024-06-11)
Irene Tinagli,Italy,North-West Italy,PD,S&D,Q3801917,2024-07-16,1974-04-16,Empoli,Carnegie Mellon University || Bocconi University,politician || economist || assistant professor,,Democratic Party,,member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2018-03-22)
Brando Benifei,Italy,North-West Italy,PD,S&D,Q17123340,2024-07-16,1986-01-01,La Spezia,University of Bologna,politician,,Democratic Party,,
Pierfrancesco Maran,Italy,North-West Italy,PD,S&D,Q127179431,2024-07-16,1980-05-27,Milan,,politician,,,,
Stefano Bonaccini,Italy,North-East Italy,PD,S&D,Q18590052,2024-07-16,1967-01-01,Campogalliano,,politician,,Democratic Party,,president of Emilia-Romagna (2014-11-24 to 2024-07-12) || President of the Democratic Party (from 2023-03-12)
Alessandro Zan,Italy,North-East Italy,PD,S&D,Q2595856,2024-07-16,1973-10-04,Padua,University of Padua,politician,,Democratic Party,,member of the Chamber of Deputies of the Italian Republic (2013-03-15 to 2018-03-22) || member of the Chamber of Deputies of the Italian Republic (2018-03-20 to 2022-10-12)
Alessandra Moretti,Italy,North-East Italy,PD,S&D,Q15055614,2024-07-16,1973-06-24,Vicenza,University of Urbino,politician,,Democratic Party || independent politician || Democrats of the Left,,member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2014-06-25)
Elisabetta Gualmini,Italy,North-East Italy,PD,S&D,Q16268441,2024-07-16,1968-05-17,Modena,University of Bologna || University of Florence,politician || political scientist,University of Bologna,Democratic Party,,vice president (2014-12-22 to 2019-06-29)
Annalisa Corrado,Italy,North-East Italy,PD,S&D,Q120989242,2024-07-16,1973-09-08,Civitavecchia,,politician,,,,
Nicola Zingaretti,Italy,Central Italy,PD,S&D,Q1332769,2024-07-16,1965-10-11,Rome,,politician,,Democratic Party,,president of Lazio (2018-03-19 to 2022-11-10) || Secretary of the Democratic Party (2019-03-17 to 2021-03-04) || president of Lazio (2013-03-12 to 2018-03-01) || president of the Province of Rome (2008-05-05 to 2012-12-29)
Dario Nardella,Italy,Central Italy,PD,S&D,Q15976266,2024-07-16,1975-11-20,Torre del Greco,University of Florence,politician,,Democratic Party,,metropolitan mayor of Florence (2015-01-01 to 2024-06-27) || member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2014-05-07) || mayor of Florence (2014-05-28 to 2024-06-27)
Matteo Ricci,Italy,Central Italy,PD,S&D,Q3852194,2024-07-16,1974-07-18,Pesaro,University of Urbino || Ist.Tec Econ. Tecnologico Bramante-Genga,politician,,Democratic Party,,president of the Province of Pesaro and Urbino (2009-06-08 to 2014-06-23) || mayor of Pesaro (2014-05-30 to 2024-06-13)
Camilla Laureti,Italy,Central Italy,PD,S&D,Q110513292,2024-07-16,1975-05-20,Rome,Sapienza University of Rome,politician,,Democratic Party,,
Marco Tarquinio,Italy,Central Italy,PD,S&D,Q3846516,2024-07-16,1958-03-16,Foligno,,politician || journalist,,,,
Antonio Decaro,Italy,Southern Italy,PD,S&D,Q16527490,2024-07-16,1970-07-17,Bari,Polytechnic University of Bari,politician,,Democratic Party,,president of Apulia (from 2026-01-07) || metropolitan mayor of Bari (2015-01-01 to 2024-07-09) || mayor of Bari (2014-06-23 to 2024-07-09) || member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2014-07-09)
Lucia Annunziata,Italy,Southern Italy,PD,S&D,Q1055321,2024-07-16,1950-08-08,Sarno,,writer || politician || television presenter || journalist,,,Grand Officer of the Order of Merit of the Italian Republic,
Raffaele Topo,Italy,Southern Italy,PD,S&D,Q56044798,2024-07-16,1965-03-02,Villaricca,University of Naples Federico II,politician,,Democratic Party,,member of the Chamber of Deputies of the Italian Republic (2018-03-19 to 2022-10-12) || mayor of a place in Italy (2006-05-28 to 2010-07-05)
Pina Picierno,Italy,Southern Italy,PD,S&D,,,,,,,,,,
Sandro Ruotolo,Italy,Southern Italy,PD,S&D,Q3948285,2024-07-16,1955-07-09,Naples,,politician || journalist,,independent politician,,member of the Senate of the Italian Republic (2020-02-27 to 2022-10-12)
Georgia Tramacere,Italy,Southern Italy,PD,S&D,Q138079026,2026-02-11,1987-01-17,Galatina,,politician,,,,
Giuseppe Lupo,Italy,Italian Islands,PD,S&D,Q127417743,2024-07-16,1966-03-18,Palermo,,politician,,,,
Gaetano Pedullà,Italy,North-West Italy,M5S,The Left,Q66736189,2024-07-16,1967-01-05,Catania,,politician || journalist,,,,
Carolina Morace,Italy,Central Italy,M5S,The Left,Q460330,2024-07-16,1964-02-05,Venice,,politician || association football coach || association football player || sports commentator,,,Q44727396,
Dario Tamburrano,Italy,Central Italy,M5S,The Left,Q17266680,2024-07-16,1969-08-27,Rome,Sapienza University of Rome,dentist || politician,,Five Star Movement,,
Pasquale Tridico,Italy,Southern Italy,M5S,The Left,Q61862499,2024-07-16,1975-09-21,Scala Coeli,Università degli Studi Roma Tre,politician || economist,,,,president (2019-03-14 to 2023-05-23)
Valentina Palmisano,Italy,Southern Italy,M5S,The Left,Q60296838,2024-07-16,1983-01-24,Brindisi,,politician || jurist,,Five Star Movement,,member of the Chamber of Deputies of the Italian Republic (2018-03-19 to 2022-10-12)
Mario Furore,Italy,Southern Italy,M5S,The Left,Q64605658,2024-07-16,1988-12-25,Foggia,Luiss University,politician,,Five Star Movement,,
Danilo Della Valle,Italy,Southern Italy,M5S,The Left,Q127268764,2024-07-16,1983-02-01,Capua,,politician,,,,
Giuseppe Antoci,Italy,Italian Islands,M5S,The Left,Q24153249,2024-07-16,1968-01-10,Santo Stefano di Camastra,,politician,,,Officer of the Order of Merit of the Italian Republic,
Letizia Moratti,Italy,North-West Italy,FI–NM,EPP,Q239024,2024-07-16,1949-11-26,Milan,University of Milan,businessperson || politician,,The People of Freedom || Forza Italia,Legion of Honour || Order of the Rising Sun || Order of Belize,"Italian Minister of Education, Universities and Research (2005-04-23 to 2006-05-17) || mayor of Milan (2006-06-01 to 2011-06-01) || Italian Minister of Education, Universities and Research (2001-06-11 to 2005-04-23)"
Massimiliano Salini,Italy,North-West Italy,FI–NM,EPP,Q3851074,2024-07-16,1973-03-11,Soresina,University of Milan,politician,,Forza Italia,,president of the Province of Cremona (2009-06-08 to 2014-07-21)
Flavio Tosi,Italy,North-East Italy,FI–NM,EPP,Q976712,2024-07-16,1969-06-18,Verona,,politician,,Liga Veneta || Act!,,member of the Chamber of Deputies of the Italian Republic (from 2022-08-10) || mayor of Verona (2007-05-29 to 2017-06-27)
Salvatore De Meo,Italy,Central Italy,FI–NM,EPP,Q64626731,2024-07-16,1971-10-27,Fondi,Sapienza University of Rome,businessperson || politician,,The People of Freedom || Forza Italia,,mayor of Fondi
Fulvio Martusciello,Italy,Southern Italy,FI–NM,EPP,Q17266672,2024-07-16,1968-05-25,Naples,University of Naples Federico II,politician,,Forza Italia,,
Giuseppina Princi,Italy,Southern Italy,FI–NM,EPP,Q126489294,2024-07-16,1972-09-27,Reggio Calabria,,politician,,,,
Marco Falcone,Italy,Italian Islands,FI–NM,EPP,Q127173543,2024-07-16,1971-01-05,Catania,,politician,,,,
Caterina Chinnici,Italy,Italian Islands,FI–NM,EPP,Q16389751,2024-07-16,1954-11-05,Palermo,University of Palermo,politician || magistrate,,Democratic Party,,
Roberto Vannacci,Italy,North-West Italy,Lega,Patriots for Europe,Q117037367,2024-07-16,1968-10-20,La Spezia,Catholic University of the Sacred Heart || University of Turin || University of Bucharest || Luiss University || University of Trieste,writer || military personnel || politician,,,NATO Medal || Legion of Merit || Maurician medal || Bronze Star Medal || Cross for seniority in military service || Q3698079 || Croce commemorativa per soccorso umanitario all'estero || Knight of the Order of Merit of the Italian Republic || gold medal to award long periods of command in the Italian military,
Silvia Sardone,Italy,North-West Italy,Lega,Patriots for Europe,Q48627081,2024-07-16,1982-12-25,Milan,Bocconi University,politician,,The People of Freedom || Lega Nord,,council member (from 2016-01-01)
Isabella Tovaglieri,Italy,North-West Italy,Lega,Patriots for Europe,Q64063745,2024-07-16,1987-06-25,Busto Arsizio,University Carlo Cattaneo,politician,,Lega Nord,,deputy mayor (2017-10-01 to 2019-09-02)
Anna Maria Cisint,Italy,North-East Italy,Lega,Patriots for Europe,Q124663398,2024-07-16,1963-10-07,Cormons,,politician,,,,
Paolo Borchia,Italy,North-East Italy,Lega,Patriots for Europe,Q64351725,2024-07-16,1980-05-27,Negrar di Valpolicella,University of Padua,politician,,Lega Nord,,
Susanna Ceccardi,Italy,Central Italy,Lega,Patriots for Europe,Q58885861,2024-07-16,1987-03-19,Pisa,Galileo Galilei,politician,,Lega Nord || Lega per Salvini Premier,,Mayor of Cascina (2016-06-21 to 2019-06-27) || council member (2011-06-01 to 2016-06-01)
Aldo Patriciello,Italy,Southern Italy,Lega,Patriots for Europe,Q1077655,2024-07-16,1957-09-27,Venafro,,politician,,Christian Democracy || Union of the Centre (1993-1998) || Forza Italia,,mayor of a place in Italy
Raffaele Stancanelli,Italy,Italian Islands,Lega,Patriots for Europe,Q3929173,2024-07-16,1950-06-30,Regalbuto,University of Catania,politician,,The People of Freedom || National Alliance || Italian Social Movement - National Right || Brothers of Italy || She Will Become Beautiful,,member of the Sicilian Regional Assembly (1996-07-08 to 2008-02-06) || mayor (2008-06-20 to 2013-06-15) || member of the Senate of the Italian Republic (2018-03-16 to 2019-07-01) || member of the Senate of the Italian Republic (2008-04-25 to 2011-10-31)
Ilaria Salis,Italy,North-West Italy,AVS,The Left,Q124412639,2024-07-16,1984-06-17,Milan,University of Milan,teacher || politician || activist,,independent politician,,
Benedetta Scuderi,Italy,North-West Italy,AVS,Greens/EFA,Q126902868,2024-07-16,1991-09-08,Agropoli,University College London || Bocconi University || Università degli Studi Roma Tre,politician,,Green Europe,,
Cristina Guarda,Italy,North-East Italy,AVS,Greens/EFA,Q126908619,2024-07-16,1990-03-03,Cologna Veneta,,politician,,,,
Ignazio Marino,Italy,Central Italy,AVS,Greens/EFA,Q405098,2024-07-16,1955-03-10,Genoa,Catholic University of the Sacred Heart,politician || surgeon,University of Pittsburgh || Thomas Jefferson University,Democratic Party,,mayor of Rome (2013-06-12 to 2015-10-31) || member of the Senate of the Italian Republic (2006-04-19 to 2008-04-28) || metropolitan mayor of Rome (2015-01-01 to 2015-10-31) || member of the Senate of the Italian Republic (2013-03-02 to 2013-05-22) || member of the Senate of the Italian Republic (2008-04-21 to 2013-03-14)
Mimmo Lucano,Italy,Southern Italy,AVS,The Left,,,,,,,,,,
Leoluca Orlando,Italy,Italian Islands,AVS,Greens/EFA,Q703503,2024-07-16,1947-08-01,Palermo,"University of Palermo || Gonzaga Institute, Palermo",writer || lawyer || politician || university teacher || sports executive,University of Palermo,Democratic Party || Italy of Values || Christian Democracy || Democracy Is Freedom – The Daisy,Heinrich Heine Prize || North–South Prize || Goethe Medal || Konrad Adenauer Award || Commander's Cross of the Order of Merit of the Federal Republic of Germany || Four Freedoms Award – Freedom from Fear || Grand Cross of the Order of Civil Merit || honorary doctor of the University of Trier,mayor of Palermo (2012-05-22 to 2022-06-20) || member of the Sicilian Regional Assembly (1991-06-16 to 1996-03-23) || metropolitan mayor of Palermo (2016-06-07 to 2017-10-18) || member of the Chamber of Deputies of the Italian Republic (2008-04-23 to 2012-07-10) || metropolitan mayor of Palermo (2017-11-26 to 2022-06-20) || mayor of Palermo (1993-12-03 to 2000-12-16) || member of the Chamber of Deputies of the Italian Republic (1992-04-15 to 1993-12-14) || member of the Sicilian Regional Assembly (2001-07-25 to 2006-02-05) || member of the Chamber of Deputies of the Italian Republic (2006-04-21 to 2008-04-28) || mayor of Palermo (1985-07-16 to 1990-08-14)
Herbert Dorfmann,Italy,North-East Italy,SVP,EPP,Q1285166,2024-07-16,1969-03-04,Brixen,Catholic University of the Sacred Heart,politician,,South Tyrolean People's Party,,municipal executive (2000-06-02 to 2005-05-09) || council member (2005-05-19 to 2009-11-30) || mayor of a place in Italy (2005-05-09 to 2009-09-16) || member of Italian City Council (2000-06-02 to 2005-05-09)
Sandra Kalniete,Latvia,,JV,EPP,Q236968,2024-07-16,1952-12-22,Togur,Graduate Institute of International Studies || Art Academy of Latvia,politician || diplomat,,Unity,"Order of the Three Stars || Cross of Recognition || Commander of the Legion of Honour || Commander of the French Order of Academic Palms || Commander's Grand Cross of the Order of the Lithuanian Grand Duke Gediminas || Order of Princess Olga, 1st class",European Commissioner for Agriculture (2004-05-01 to 2004-11-11) || European Commissioner for Agriculture (2004-05-01 to 2004-11-21) || ambassador of Latvia (1993-01-01 to 2002-01-01) || deputy of Saeima (2008-02-01 to 2008-05-22) || deputy of Saeima (2006-11-07 to 2008-02-01) || deputy of Saeima (2008-05-22 to 2009-07-16) || Minister of Foreign Affairs (2002-11-07 to 2004-03-09)
Inese Vaidere,Latvia,,JV,EPP,Q2662771,2024-07-16,1952-09-03,Jelgava,University of Latvia,politician || economist || university teacher,University of Latvia,Communist Party of the Soviet Union || Civic Union,"Order of Merit (Ukraine), 3rd class",deputy of Saeima
Roberts Zīle,Latvia,,,ECR,Q969701,2024-07-16,1958-06-20,Riga,University of Latvia || Latvia University of Life Sciences and Technologies,politician || economist,,For Fatherland and Freedom/LNNK || National Alliance,,deputy of Saeima (2002-01-01 to 2006-01-01) || Minister of Finance (1997-02-27 to 1998-11-26) || deputy of Saeima (1998-01-01 to 2002-01-01)
Rihards Kols,Latvia,,,ECR,Q20562562,2024-07-16,1984-12-16,Riga,University of Westminster || Turība University,lawyer || politician,,National Alliance,"Order of Merit (Ukraine), 3rd class",deputy of Saeima (2018-11-06 to 2022-11-01) || deputy of Saeima (2022-11-01 to 2024-07-16) || deputy of Saeima (2014-11-04 to 2018-11-06)
Ivars Ijabs,Latvia,,LA,Renew Europe,Q28966945,2024-07-16,1972-11-17,Riga,University of Latvia,politician || political scientist || horn player,University of Latvia,For Latvia's Development,,deputy of Saeima
Reinis Pozņaks,Latvia,,AS,ECR,Q126843005,2024-07-16,1977-12-09,Riga,,politician || auto mechanic,,,,
Mārtiņš Staķis,Latvia,,PRO,Greens/EFA,Q58371519,2024-07-16,1979-07-04,Tukums,"Aalto University School of Business || Q16354029 || University of Latvia Faculty of Business, Management and Economics",businessperson || politician,,The Progressives || Movement For!,,Mayor of Riga (2020-10-02 to 2023-07-05) || deputy of Saeima (2018-11-06 to 2020-06-11)
Nils Ušakovs,Latvia,,Saskaņa,S&D,Q1287239,2024-07-16,1976-06-08,Riga,University of Latvia || University of Southern Denmark,politician,TASS || University of Latvia || NTV || Latvijas Televīzija || Respublika || TV5,"Social Democratic Party ""Harmony"" || National Harmony Party",,deputy of Saeima (2006-11-07 to 2009-07-16) || Mayor of Riga (2009-07-01 to 2019-04-04)
Vilis Krištopans,Latvia,,LPV,Patriots for Europe,Q944216,2024-07-16,1954-06-13,Yarkovo,Riga Technical University,politician || basketball player,,Union of Greens and Farmers || Latvian Way,"Commander with Star of the Royal Norwegian Order of Merit || Order of the Three Stars, 3rd Class",Prime Minister of Latvia (1998-11-26 to 1999-07-16)
Andrius Kubilius,Lithuania,,TS–LKD,EPP,Q57663,2024-07-16,1956-12-08,Vilnius,Vilnius University,politician || physicist,,Homeland Union – Lithuanian Christian Democrats,"Independence Medal || Grand Cross of the Order of Isabella the Catholic || Commander of the Order of the Lithuanian Grand Duke Gediminas || Grand Cross of Royal Norwegian Order of Merit || Order of Prince Yaroslav the Wise, 1st class || Order of Prince Yaroslav the Wise, 2nd class",European Commissioner for Defence and Space (from 2024-01-01) || Member of the Seimas (2012-11-16 to 2016-11-14) || Member of the Seimas (2004-11-15 to 2008-11-17) || Member of the Seimas (2000-10-19 to 2004-11-14) || Litvánia miniszterelnökeinek listája (2008-11-26 to 2012-11-22) || Member of the Seimas (2008-11-17 to 2012-11-16) || Member of the Seimas (1992-11-24 to 1996-11-22) || Litvánia miniszterelnökeinek listája (1999-11-03 to 2000-10-26) || Member of the Seimas (2016-11-14 to 2019-07-01) || Member of the Seimas (1996-11-25 to 2000-10-18)
Rasa Juknevičienė,Lithuania,,TS–LKD,EPP,Q271646,2024-07-16,1958-01-26,Panevėžys,,politician,,Homeland Union – Lithuanian Christian Democrats,,Member of the Seimas (2004-11-15 to 2008-11-17) || Member of the Seimas (2016-11-14 to 2019-07-01) || Member of the Seimas (2012-11-16 to 2016-11-14) || Member of the Seimas (2000-10-19 to 2004-11-14) || substitute member of the Parliamentary Assembly of the Council of Europe (1998-09-21 to 2000-01-24) || Minister of National Defence (2008-12-09 to 2012-12-13) || Member of the Seimas (1996-11-25 to 2000-10-18) || Member of the Seimas (2008-11-17 to 2012-11-16)
Liudas Mažylis,Lithuania,,TS–LKD,EPP,,,,,,,,,,
Paulius Saudargas,Lithuania,,TS–LKD,EPP,Q2063954,2024-07-16,1979-03-13,Kaunas,Vilnius University,politician || physicist,,Homeland Union – Lithuanian Christian Democrats,"Order of Prince Yaroslav the Wise, 3rd class",Member of the Seimas (2008-11-17 to 2012-11-16) || Member of the Seimas (2020-11-13 to 2024-07-15) || Member of the Seimas (2016-11-14 to 2020-11-13) || Member of the Seimas (2012-11-16 to 2016-11-14)
Vilija Blinkevičiūtė,Lithuania,,LSDP,S&D,Q435394,2024-07-16,1960-03-03,Linkuva,Vilnius University Faculty of Law,lawyer || politician,,Social Democratic Party of Lithuania || New Union (Social Liberals),Commander of the Order for Merits to Lithuania,Member of the Seimas (2012-11-16 to 2012-11-16) || Member of the Seimas (2008-11-17 to 2009-06-28) || Minister of Social Security and Labour (2000-10-30 to 2008-12-09) || Member of the Seimas (2004-11-15 to 2008-11-17)
