Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Rareș Bogdan,Romania,,PSD–PNL,EPP,Q62122110,2024-07-16,1974-09-17,Ocna Mureș,Babeș-Bolyai University,politician || journalist,,National Liberal Party,,deputy chairperson (from 2019-07-01)
Gabriela Firea,Romania,,PSD–PNL,S&D,Q16593781,2024-07-16,1972-07-13,Bacău,Faculty of Letters (Bucharest University),politician || news presenter || journalist,,Social Democratic Party,Order of the Star of Romania,"Minister of Family, Youth and Equal Opportunities (2021-11-25 to 2023-07-14) || member of the Senate of Romania (from 2020-12-21) || Mayor of Bucharest (2016-06-23 to 2020-10-29) || member of the Senate of Romania (2012-12-19 to 2016-06-22)"
Dan Motreanu,Romania,,PSD–PNL,EPP,Q12726340,2024-07-16,1970-09-11,Orăștie,West University of Timișoara,politician,,National Liberal Party,,Minister of Agriculture of Romania (2006-12-06 to 2007-04-05) || member of the Chamber of Deputies of Romania (2008-12-12 to 2012-12-10) || member of the Chamber of Deputies of Romania (2012-01-01 to 2016-01-01) || member of the Chamber of Deputies of Romania (2004-01-01 to 2008-01-01)
Claudiu Manda,Romania,,PSD–PNL,S&D,,,,,,,,,,
Adina-Ioana Vălean,Romania,,PSD–PNL,EPP,Q274739,2024-07-16,1968-02-16,Țintea,University of Bucharest,politician || mathematics teacher,,National Liberal Party,"Order of Merit (Ukraine), 3rd class",member of the Chamber of Deputies of Romania (2004-12-17 to 2007-11-30) || European Commissioner for Transport (2019-12-01 to 2024-06-15) || Vice President of the European Parliament (2014-07-01 to 2017-01-18)
Victor Negrescu,Romania,,PSD–PNL,S&D,Q17305189,2024-07-16,1985-08-17,Alba Iulia,,politician || academic,,Social Democratic Party,,Minister for European affairs (2017-06-29 to 2018-11-09)
Vasile Dîncu,Romania,,PSD–PNL,S&D,Q347209,2024-07-16,1961-11-25,Runcu Salvei,Babeș-Bolyai University,writer || politician || university teacher || sociologist,Babeș-Bolyai University,Social Democratic Party,"Order of Prince Yaroslav the Wise, 3rd class","Minister for Development, Public Works and Administration (2015-11-17 to 2017-01-04) || member of the Senate of Romania (2004-02-14 to 2008-12-20) || member of the Senate of Romania (from 2020-12-21) || Minister of Informations (2000-12-28 to 2003-06-19) || Minister of National Defence (2021-11-25 to 2022-10-24)"
Daniel Buda,Romania,,PSD–PNL,EPP,Q12726380,2024-07-16,1970-01-11,Românași,,lawyer || politician,,National Liberal Party || Democratic Liberal Party,,member of the Chamber of Deputies of Romania (2008-12-12 to 2012-12-01) || member of the Chamber of Deputies of Romania (2004-12-17 to 2008-01-01)
Maria Grapini,Romania,,PSD–PNL,S&D,Q15718586,2024-07-16,1954-11-07,Berești,Gheorghe Asachi Technical University of Iași,engineer || politician,,Humanist Power Party,,"Minister Delegate for SMEs, Environment and Tourism (2012-12-21 to 2014-03-05) || member of the Chamber of Deputies of Romania (2012-12-01 to 2014-03-25)"
Gheorghe Cârciu,Romania,,PSD–PNL,S&D,Q127271497,2024-07-16,1973-04-14,Bixad,,politician,,Social Democratic Party,,
Siegfried Mureșan,Romania,,PSD–PNL,EPP,Q17155237,2024-07-16,1981-09-20,Hunedoara,Humboldt-Universität zu Berlin || Bucharest University of Economic Studies,politician || economist,,National Liberal Party || People's Movement Party,Order of Honour,
Dragoș Benea,Romania,,PSD–PNL,S&D,Q28035943,2024-07-16,1975-12-18,Bacău,Vasile Alecsandri University,politician,,Social Democratic Party,,chairperson of Bacău County Council (2008-01-01 to 2012-01-01) || chairperson of Bacău County Council (2012-01-01 to 2016-01-01) || member of the Senate of Romania (2016-12-20 to 2019-06-19) || chairperson of Bacău County Council (2004-01-01 to 2008-01-01)
Mircea Hava,Romania,,PSD–PNL,EPP,Q24346604,2024-07-16,1956-12-26,Oradea,,engineer || politician,,National Liberal Party,,mayor of Alba Iulia (2004-01-01 to 2008-01-01) || mayor of Alba Iulia (2016-01-01 to 2019-06-01) || mayor of Alba Iulia (2008-01-01 to 2012-01-01) || mayor of Alba Iulia (2012-01-01 to 2016-01-01) || mayor of Alba Iulia (2000-01-01 to 2004-01-01) || mayor of Alba Iulia (1996-01-01 to 2000-01-01)
